ticker,name,market,close,contractions_count,contractions_history,last_depth_pct,volume_dry_up,vol_ratio,vcp_score,jump_score,note
249420,일동제약,KOSPI,38600,8,"[19.6, 14.9, 14.8, 39.2, 14.1, 12.1, 19.2, 2.7]",2.66,True,0.39,90,100,VCP Pattern Detected
000230,일동홀딩스,KOSPI,13330,7,"[2.8, 7.8, 8.1, 31.2, 17.0, 15.9, 3.1]",3.07,True,0.1,90,80,VCP Pattern Detected
212560,네오오토,KOSDAQ,12470,3,"[12.0, 9.2, 4.8]",4.78,False,3.33,70,60,VCP Pattern Detected
347850,디앤디파마텍,KOSDAQ,93800,8,"[22.1, 10.3, 3.7, 25.3, 16.6, 15.6, 14.1, 7.9]",7.88,True,0.68,70,50,VCP Pattern Detected
023810,인팩,KOSPI,10860,7,"[3.5, 3.1, 10.2, 0.0, 10.7, 3.3, 2.6]",2.59,False,3.26,60,80,VCP Pattern Detected
012205,계양전기우,KOSPI,8280,7,"[3.8, 5.0, 0.0, 17.3, 4.4, 5.8, 5.2]",5.17,False,4.85,50,60,VCP Pattern Detected
012610,경인양행,KOSPI,4720,8,"[5.5, 9.4, 0.0, 8.9, 8.7, 5.3, 9.6, 7.9]",7.91,False,1.82,50,30,VCP Pattern Detected
010400,우진아이엔에스,KOSPI,4755,8,"[6.2, 7.7, 4.4, 1.3, 3.2, 11.5, 9.6, 7.7]",7.71,False,1.3,50,30,VCP Pattern Detected
005930,삼성전자,KOSPI,138100,5,"[5.2, 2.6, 5.5, 14.7, 6.1]",6.12,False,1.3,50,30,VCP Pattern Detected
295310,에이치브이엠,KOSDAQ,69700,7,"[18.7, 19.8, 14.7, 7.2, 17.6, 10.3, 7.9]",7.92,False,1.85,50,30,VCP Pattern Detected
122690,서진오토모티브,KOSDAQ,4040,5,"[15.1, 6.4, 5.8, 20.3, 5.2]",5.21,False,1.18,50,60,VCP Pattern Detected
