ticker,name,market,close,contractions_count,contractions_history,last_depth_pct,volume_dry_up,vol_ratio,vcp_score,jump_score,pivot_point,pivot_distance_pct,note,vcp_mode
052690,한전기술,KOSPI,174100,4,"[22.7, 14.1, 13.3, 4.4]",4.42,True,0.76,90,80,151700,-12.87,VCP Pattern Detected,Classic
090710,휴림로봇,KOSDAQ,14440,8,"[13.5, 5.7, 35.4, 5.9, 12.7, 0.0, 37.9, 4.6]",4.57,True,0.42,80,80,14670,1.59,VCP Pattern Detected,Classic
003160,디아이,KOSPI,36150,8,"[5.5, 3.5, 9.4, 21.2, 15.5, 9.6, 18.5, 6.7]",6.72,True,0.48,70,50,37200,2.9,VCP Pattern Detected,Classic
036580,팜스코,KOSPI,3820,9,"[1.7, 14.5, 6.3, 4.2, 4.5, 9.1, 8.2, 8.4, 7.2]",7.17,True,0.5,70,50,4115,7.72,VCP Pattern Detected,Classic
45226K,한화갤러리아우,KOSPI,10000,9,"[1.1, 6.5, 11.5, 2.4, 3.7, 49.4, 0.0, 36.8, 9.7]",9.67,True,0.33,70,50,11070,10.7,VCP Pattern Detected,Classic
244920,에이플러스에셋,KOSPI,14380,6,"[4.7, 11.2, 18.2, 5.8, 9.2, 4.5]",4.45,True,0.61,70,80,11000,-23.5,VCP Pattern Detected,Classic
272210,한화시스템,KOSPI,113700,8,"[3.5, 15.5, 16.7, 16.5, 7.5, 9.2, 17.6, 5.1]",5.06,True,0.39,70,80,116500,2.46,VCP Pattern Detected,Classic
180400,DXVX,KOSDAQ,4625,9,"[14.8, 10.0, 0.0, 20.3, 7.0, 10.1, 16.8, 9.3, 9.5]",9.49,True,0.39,70,30,5110,10.49,VCP Pattern Detected,Classic
006800,미래에셋증권,KOSPI,73950,5,"[10.7, 16.5, 14.5, 9.1, 5.6]",5.57,True,0.76,60,80,28700,-61.19,VCP Pattern Detected,Classic
347700,스피어,KOSDAQ,42650,7,"[16.5, 28.2, 17.9, 7.4, 16.8, 11.3, 7.3]",7.34,True,0.63,60,50,45650,7.03,VCP Pattern Detected,Classic
103590,일진전기,KOSPI,89000,4,"[13.1, 20.9, 12.9, 6.5]",6.46,False,2.15,60,30,63500,-28.65,VCP Pattern Detected,Classic
005935,삼성전자우,KOSPI,145200,3,"[13.2, 8.8, 6.8]",6.8,False,1.31,60,30,120600,-16.94,VCP Pattern Detected,Classic
047810,한국항공우주,KOSPI,194400,7,"[16.9, 10.9, 7.6, 4.4, 7.3, 6.4, 7.5]",7.54,True,0.75,60,30,171200,-11.93,VCP Pattern Detected,Classic
010690,화신,KOSPI,15670,4,"[13.3, 8.6, 14.7, 9.1]",9.1,False,1.81,60,30,9780,-37.59,VCP Pattern Detected,Classic
127120,제이에스링크,KOSDAQ,38900,8,"[0.0, 23.5, 20.4, 20.1, 14.3, 10.1, 13.3, 7.7]",7.73,True,0.67,60,50,31050,-20.18,VCP Pattern Detected,Classic
033240,자화전자,KOSPI,41450,7,"[10.5, 10.3, 29.0, 5.4, 8.7, 20.7, 8.9]",8.93,True,0.74,60,50,44250,6.76,VCP Pattern Detected,Classic
005440,현대지에프홀딩스,KOSPI,16140,4,"[16.9, 9.3, 11.2, 9.6]",9.6,False,3.96,60,30,8750,-45.79,VCP Pattern Detected,Classic
005960,동부건설,KOSPI,9220,5,"[18.1, 9.4, 8.8, 10.9, 4.9]",4.89,False,2.99,50,60,5520,-40.13,VCP Pattern Detected,Classic
104200,NHN벅스,KOSDAQ,5650,9,"[2.1, 10.3, 10.4, 6.4, 5.5, 6.0, 22.1, 21.8, 13.8]",13.83,True,0.45,50,50,6290,11.33,VCP Pattern Detected,Classic
047040,대우건설,KOSPI,9900,5,"[6.9, 3.6, 14.7, 5.3, 5.0]",4.95,False,3.12,50,60,3835,-61.26,VCP Pattern Detected,Classic
032830,삼성생명,KOSPI,233000,7,"[6.7, 6.2, 7.7, 14.0, 4.1, 4.6, 4.4]",4.41,False,2.07,50,60,165400,-29.01,VCP Pattern Detected,Classic
064850,에프앤가이드,KOSDAQ,20900,7,"[6.0, 5.1, 3.5, 5.9, 2.8, 5.0, 3.9]",3.87,False,4.07,50,60,9050,-56.7,VCP Pattern Detected,Classic
002380,KCC,KOSPI,656000,7,"[18.4, 10.8, 6.9, 3.0, 6.3, 6.5, 3.8]",3.81,False,1.39,50,60,446500,-31.94,VCP Pattern Detected,Classic
013520,화승코퍼레이션,KOSPI,3570,6,"[4.2, 16.4, 5.3, 12.6, 4.8, 4.8]",4.8,False,4.94,50,40,2710,-24.09,VCP Pattern Detected,Classic
009290,광동제약,KOSPI,9760,5,"[8.8, 6.8, 2.5, 5.9, 2.7]",2.74,False,4.73,50,80,5850,-40.06,VCP Pattern Detected,Classic
327260,RF머트리얼즈,KOSDAQ,41700,6,"[5.9, 15.2, 22.1, 17.4, 13.1, 11.5]",11.55,True,0.79,40,50,25550,-38.73,VCP Pattern Detected,Classic
242040,나무기술,KOSDAQ,5710,8,"[4.3, 9.0, 2.8, 2.0, 0.0, 3.3, 7.3, 8.1]",8.14,False,2.51,40,10,3930,-31.17,VCP Pattern Detected,Classic
079000,와토스코리아,KOSDAQ,11040,8,"[11.1, 6.5, 0.9, 0.0, 1.3, 0.5, 10.0, 6.0]",6.0,False,2.61,40,30,7000,-36.59,VCP Pattern Detected,Classic
218410,RFHIC,KOSDAQ,57400,8,"[13.4, 15.1, 29.4, 5.1, 9.8, 10.3, 9.0, 10.1]",10.13,True,0.75,40,30,63200,10.1,VCP Pattern Detected,Classic
036170,에이치엠넥스,KOSDAQ,2560,7,"[5.6, 6.5, 5.1, 9.1, 4.7, 21.1, 9.9]",9.9,False,2.62,40,30,1798,-29.77,VCP Pattern Detected,Classic
047770,코데즈컴바인,KOSDAQ,5420,8,"[11.1, 39.4, 4.4, 2.4, 7.5, 9.5, 12.1, 6.8]",6.82,False,1.42,40,30,3080,-43.17,VCP Pattern Detected,Classic
168360,펨트론,KOSDAQ,29800,8,"[3.0, 6.6, 16.5, 24.3, 15.5, 8.6, 10.7, 9.0]",8.97,False,1.91,40,30,18950,-36.41,VCP Pattern Detected,Classic
365270,큐라클,KOSDAQ,18450,9,"[24.4, 7.2, 21.9, 19.5, 20.9, 4.1, 4.8, 8.8, 5.2]",5.24,False,0.86,40,60,12780,-30.73,VCP Pattern Detected,Classic
277810,레인보우로보틱스,KOSDAQ,880000,7,"[3.8, 5.9, 26.9, 7.2, 9.3, 11.6, 13.4]",13.42,True,0.76,40,30,760000,-13.64,VCP Pattern Detected,Classic
241520,DSC인베스트먼트,KOSDAQ,18070,7,"[7.5, 9.0, 9.2, 18.8, 4.5, 9.7, 9.5]",9.47,False,1.55,40,30,7920,-56.17,VCP Pattern Detected,Classic
171090,선익시스템,KOSDAQ,130800,6,"[22.8, 6.9, 3.5, 17.6, 10.5, 8.9]",8.93,False,1.05,40,30,131000,0.15,VCP Pattern Detected,Classic
371950,풍원정밀,KOSDAQ,18520,8,"[20.1, 1.8, 14.1, 0.0, 8.6, 17.3, 17.7, 5.6]",5.62,False,1.62,40,60,14600,-21.17,VCP Pattern Detected,Classic
420770,기가비스,KOSDAQ,72100,4,"[18.8, 14.8, 16.3, 11.8]",11.83,False,1.08,40,30,65100,-9.71,VCP Pattern Detected,Classic
053700,삼보모터스,KOSDAQ,8000,8,"[8.7, 3.2, 4.5, 2.9, 3.1, 12.7, 24.1, 13.7]",13.73,True,0.56,40,50,8300,3.75,VCP Pattern Detected,Classic
092870,엑시콘,KOSDAQ,31700,7,"[22.9, 12.2, 12.2, 16.4, 11.6, 10.7, 5.6]",5.64,False,0.93,40,60,28350,-10.57,VCP Pattern Detected,Classic
222080,씨아이에스,KOSDAQ,14400,6,"[5.0, 7.4, 14.2, 9.9, 15.6, 5.6]",5.58,False,3.13,40,60,6990,-51.46,VCP Pattern Detected,Classic
032820,우리기술,KOSDAQ,17040,4,"[12.1, 6.4, 31.3, 10.1]",10.14,False,1.07,40,30,4045,-76.26,VCP Pattern Detected,Classic
126340,비나텍,KOSDAQ,125300,7,"[22.6, 27.1, 6.8, 14.8, 8.3, 7.2, 5.5]",5.49,False,0.81,40,60,118300,-5.59,VCP Pattern Detected,Classic
010120,LSELECTRIC,KOSPI,793000,8,"[0.0, 13.6, 9.9, 7.8, 13.8, 12.2, 6.4, 7.1]",7.05,False,0.88,40,10,539000,-32.03,VCP Pattern Detected,Classic
039490,키움증권,KOSPI,474000,7,"[13.5, 16.2, 3.8, 4.0, 3.9, 11.0, 7.6]",7.57,False,0.98,40,30,495500,4.54,VCP Pattern Detected,Classic
307950,현대오토에버,KOSPI,530000,7,"[14.0, 19.9, 4.1, 14.7, 13.5, 19.1, 5.2]",5.15,False,0.97,40,60,456000,-13.96,VCP Pattern Detected,Classic
006340,대원전선,KOSPI,6860,10,"[1.8, 4.3, 7.1, 21.5, 7.9, 11.8, 12.5, 8.9, 7.2, 7.0]",7.05,False,5.65,40,30,3830,-44.17,VCP Pattern Detected,Classic
010820,퍼스텍,KOSPI,6820,9,"[11.0, 9.3, 0.0, 22.9, 6.9, 6.1, 7.8, 10.3, 5.6]",5.58,False,2.69,40,60,4840,-29.03,VCP Pattern Detected,Classic
298020,효성티앤씨,KOSPI,433000,7,"[9.1, 10.5, 6.2, 1.4, 0.0, 10.7, 8.8]",8.81,False,0.98,40,30,414500,-4.27,VCP Pattern Detected,Classic
00680K,미래에셋증권2우B,KOSPI,22900,8,"[8.0, 11.7, 7.9, 5.1, 4.7, 3.7, 8.3, 9.3]",9.25,False,1.17,40,10,22700,-0.87,VCP Pattern Detected,Classic
009150,삼성전기,KOSPI,454500,5,"[7.4, 5.8, 16.7, 7.5, 6.8]",6.85,False,1.56,40,30,292000,-35.75,VCP Pattern Detected,Classic
000880,한화,KOSPI,138800,7,"[12.1, 7.2, 27.5, 7.4, 4.2, 20.6, 7.9]",7.89,False,1.0,40,30,122900,-11.46,VCP Pattern Detected,Classic
452260,한화갤러리아,KOSPI,3205,9,"[3.8, 4.0, 5.3, 4.8, 0.0, 1.8, 22.1, 20.1, 7.4]",7.38,False,0.94,40,30,2235,-30.27,VCP Pattern Detected,Classic
003540,대신증권,KOSPI,45050,6,"[10.5, 7.0, 13.4, 4.4, 7.0, 8.1]",8.06,False,1.7,40,10,49000,8.77,VCP Pattern Detected,Classic
006805,미래에셋증권우,KOSPI,25800,11,"[0.0, 7.7, 6.5, 5.2, 12.2, 9.8, 4.5, 11.2, 11.8, 15.9, 14.4]",14.39,True,0.54,40,50,27800,7.75,VCP Pattern Detected,Classic
001720,신영증권,KOSPI,226000,8,"[14.2, 5.4, 16.9, 4.3, 2.5, 1.0, 9.6, 7.3]",7.34,False,2.17,40,30,192000,-15.04,VCP Pattern Detected,Classic
006405,삼성SDI우,KOSPI,269500,6,"[6.5, 7.1, 10.6, 16.5, 7.5, 5.9]",5.9,False,1.92,40,60,212000,-21.34,VCP Pattern Detected,Classic
000720,현대건설,KOSPI,161600,6,"[11.5, 8.9, 15.8, 9.0, 11.9, 9.5]",9.52,False,0.97,40,30,109200,-32.43,VCP Pattern Detected,Classic
095610,테스,KOSDAQ,72700,7,"[7.9, 3.3, 20.2, 18.0, 11.6, 19.8, 11.1]",11.08,False,0.91,20,30,72200,-0.69,VCP Pattern Detected,Classic
319660,피에스케이,KOSDAQ,63700,7,"[10.7, 26.8, 4.1, 10.1, 0.0, 11.5, 12.7]",12.68,False,1.05,20,10,61500,-3.45,VCP Pattern Detected,Classic
130660,한전산업,KOSPI,24250,5,"[4.5, 12.3, 10.5, 11.9, 12.2]",12.2,False,1.12,20,10,14750,-39.18,VCP Pattern Detected,Classic
086520,에코프로,KOSDAQ,183900,5,"[8.0, 10.3, 20.6, 25.3, 14.4]",14.45,False,0.84,20,30,175800,-4.4,VCP Pattern Detected,Classic
084370,유진테크,KOSDAQ,134200,6,"[5.8, 27.1, 11.0, 3.5, 17.6, 13.1]",13.06,False,0.83,20,30,111000,-17.29,VCP Pattern Detected,Classic
253590,네오셈,KOSDAQ,17770,7,"[7.0, 9.3, 10.0, 23.0, 12.2, 13.4, 14.6]",14.6,False,2.35,20,10,18770,5.63,VCP Pattern Detected,Classic
036540,SFA반도체,KOSDAQ,7850,8,"[8.6, 8.1, 2.8, 6.5, 22.2, 10.6, 10.3, 12.1]",12.12,False,2.98,20,10,7840,-0.13,VCP Pattern Detected,Classic
042700,한미반도체,KOSPI,316000,5,"[16.0, 10.4, 9.6, 10.1, 11.3]",11.33,False,1.36,20,10,211000,-33.23,VCP Pattern Detected,Classic
187660,현대ADM,KOSDAQ,17360,6,"[9.4, 8.9, 24.9, 18.7, 20.8, 11.2]",11.24,False,2.27,20,30,3380,-80.53,VCP Pattern Detected,Classic
036930,주성엔지니어링,KOSDAQ,55600,5,"[5.5, 7.2, 17.3, 12.3, 11.6]",11.59,False,1.25,20,30,34950,-37.14,VCP Pattern Detected,Classic
077360,덕산하이메탈,KOSDAQ,11690,10,"[6.3, 13.3, 6.9, 8.1, 27.6, 3.1, 5.1, 6.2, 10.4, 12.4]",12.44,False,0.87,20,10,11900,1.8,VCP Pattern Detected,Classic
221800,유투바이오,KOSDAQ,26850,6,"[1.7, 7.2, 20.4, 41.8, 21.7, 10.2]",10.22,False,2.3,20,30,4990,-81.42,VCP Pattern Detected,Classic
031980,피에스케이홀딩스,KOSDAQ,87300,7,"[8.2, 17.9, 18.6, 11.8, 7.0, 13.8, 12.7]",12.69,False,1.02,20,30,90600,3.78,VCP Pattern Detected,Classic
006910,보성파워텍,KOSDAQ,11260,9,"[5.0, 8.1, 15.4, 13.0, 6.8, 2.3, 5.1, 9.8, 11.2]",11.2,False,1.09,20,10,12680,12.61,VCP Pattern Detected,Classic
000150,두산,KOSPI,1286000,5,"[17.4, 9.8, 18.3, 19.5, 12.5]",12.47,False,1.09,20,30,946000,-26.44,VCP Pattern Detected,Classic
006400,삼성SDI,KOSPI,457500,5,"[3.8, 9.3, 16.0, 17.3, 10.2]",10.21,False,1.27,20,30,396500,-13.33,VCP Pattern Detected,Classic
011700,한신기계,KOSPI,4885,10,"[2.5, 8.5, 12.3, 6.6, 20.4, 6.5, 4.0, 5.7, 17.6, 10.7]",10.69,False,0.96,20,30,5470,11.98,VCP Pattern Detected,Classic
322000,HD현대에너지솔루션,KOSPI,97300,8,"[4.0, 13.5, 31.7, 13.6, 10.2, 0.5, 12.8, 10.7]",10.71,False,1.65,20,30,89600,-7.91,VCP Pattern Detected,Classic
267250,HD현대,KOSPI,295000,5,"[8.3, 6.8, 16.9, 14.1, 14.1]",14.07,False,1.05,20,30,259500,-12.03,VCP Pattern Detected,Classic
377300,카카오페이,KOSPI,66800,8,"[0.0, 10.8, 6.5, 8.7, 12.5, 6.6, 10.6, 10.1]",10.06,False,0.86,20,30,68600,2.69,VCP Pattern Detected,Classic
00088K,한화3우B,KOSPI,55400,8,"[9.6, 7.0, 13.8, 16.5, 9.2, 2.3, 13.7, 10.2]",10.16,False,0.92,20,30,50200,-9.39,VCP Pattern Detected,Classic
