ticker,name,market,close,contractions_count,contractions_history,last_depth_pct,volume_dry_up,vol_ratio,vcp_score,jump_score,pivot_point,pivot_distance_pct,note
45226K,한화갤러리아우,KOSPI,10110,12,"[0.0, 0.0, 3.3, 1.1, 6.5, 11.5, 2.4, 3.7, 49.4, 0.0, 36.8, 9.7]",9.67,True,0.49,80,50,11070,9.5,VCP Pattern Detected
244920,에이플러스에셋,KOSPI,14000,6,"[4.7, 11.2, 18.2, 5.8, 9.2, 4.5]",4.45,True,0.58,80,80,11000,-21.43,VCP Pattern Detected
452260,한화갤러리아,KOSPI,2205,10,"[1.5, 3.8, 4.0, 5.3, 4.8, 0.0, 1.8, 22.1, 20.1, 7.4]",7.38,True,0.74,70,50,2235,1.36,VCP Pattern Detected
000720,현대건설,KOSPI,114600,7,"[8.7, 11.5, 8.9, 15.8, 9.0, 11.9, 9.5]",9.52,True,0.72,70,50,109200,-4.71,VCP Pattern Detected
006800,미래에셋증권,KOSPI,51300,6,"[3.3, 10.7, 16.5, 14.5, 9.1, 5.6]",5.57,False,0.98,50,60,28700,-44.05,VCP Pattern Detected
298020,효성티앤씨,KOSPI,400000,7,"[9.1, 10.5, 6.2, 1.4, 0.0, 10.7, 8.1]",8.08,False,0.83,50,30,414500,3.62,VCP Pattern Detected
010780,아이에스동서,KOSPI,30400,6,"[3.6, 13.4, 8.7, 6.7, 15.4, 6.8]",6.78,False,2.42,50,30,23600,-22.37,VCP Pattern Detected
011500,한농화성,KOSPI,25500,5,"[7.7, 4.5, 17.3, 12.4, 5.9]",5.89,False,0.96,50,60,15800,-38.04,VCP Pattern Detected
189300,인텔리안테크,KOSDAQ,133400,7,"[5.4, 9.7, 4.6, 24.0, 5.5, 8.1, 7.8]",7.82,False,1.76,50,30,74200,-44.38,VCP Pattern Detected
474170,루미르,KOSDAQ,19350,6,"[6.7, 14.1, 6.2, 11.7, 15.7, 7.1]",7.07,False,1.05,50,30,9340,-51.73,VCP Pattern Detected
180400,DXVX,KOSDAQ,4750,9,"[13.6, 14.8, 10.0, 0.0, 20.3, 7.0, 10.1, 16.8, 9.3]",9.29,False,1.02,50,30,4090,-13.89,VCP Pattern Detected
