ticker,name,collection_date,close,price_change_pct,supply_score,fundamental_score,market_cap,PER,PBR,EPS,BPS,DIV,DPS,기관_5일,외인_5일,개인_5일,기관_15일,외인_15일,개인_15일,기관_30일,외인_30일,개인_30일,기관_50일,외인_50일,개인_50일,기관_100일,외인_100일,개인_100일
056080,유진로봇,2026-01-26,31850.0,11.95,100.0,40.0,11948.0,0.0,33.459999084472656,0.0,952.0,0.0,0.0,331.97,8.77,-330.82,589.67,69.58,-655.13,667.33,-20.07,-647.99,685.64,92.13,-780.46,713.88,35.63,-755.19
012610,경인양행,2026-01-26,4505.0,-1.96,56.4,60.0,1875.0,12.18,0.7699999809265137,370.0,5828.0,1.1100000143051147,50.0,0.02,-1.79,0.63,-0.72,6.44,-6.57,-1.67,-8.64,9.72,-2.7,-21.1,24.23,-0.1,-26.45,26.62
047810,한국항공우주,2026-01-26,167400.0,2.76,43.8,75.0,163173.0,94.84,9.56999969482422,1765.0,17500.0,0.3000000119209289,500.0,469.12,-487.96,-31.99,2041.01,-2244.05,192.35,2674.36,-2248.15,-448.16,4552.07,-3906.83,-672.32,5399.31,-4816.14,-640.97
049630,재영솔루텍,2026-01-26,5660.0,-3.08,0.0,60.0,6616.0,115.51,6.869999885559082,49.0,824.0,0.0,0.0,0.84,-127.09,118.22,0.91,-72.02,62.33,-1.93,-154.02,144.44,-5.2,-33.45,166.15,-5.82,-27.66,376.11
000720,현대건설,2026-01-26,106200.0,-2.75,87.7,40.0,118260.0,0.0,1.4900000095367432,0.0,71394.0,0.5600000023841858,600.0,-1137.19,995.81,163.88,-424.35,2794.02,-2332.77,-67.73,2999.05,-2891.36,1814.62,3461.16,-5258.43,2592.12,-274.85,-2301.68
005850,에스엘,2026-01-26,55000.0,-2.31,0.0,90.0,25547.0,6.88,1.100000023841858,7998.0,49934.0,2.180000066757202,1200.0,-234.07,-164.47,385.35,66.49,-448.05,374.57,142.98,-463.58,320.26,213.02,-97.71,-120.27,124.34,-108.04,-6.56
321370,센서뷰,2026-01-26,3155.0,8.05,0.0,40.0,1435.0,0.0,6.78000020980835,0.0,465.0,0.0,0.0,-17.11,2.87,14.04,-17.3,-7.54,26.52,-28.18,-12.0,40.27,-30.21,-18.34,48.62,-34.5,-25.7,61.02
042700,한미반도체,2026-01-26,169500.0,-0.94,42.3,95.0,161554.0,106.67,29.75,1589.0,5698.0,0.4199999868869781,720.0,-874.89,223.78,636.45,517.96,487.25,-1027.76,1502.49,1920.35,-3381.17,1989.16,541.94,-2380.52,4274.93,349.38,-4531.0
464080,에스오에스랩,2026-01-26,25350.0,2.22,95.8,40.0,4512.0,0.0,14.020000457763672,0.0,1808.0,0.0,0.0,36.16,9.65,-43.96,32.78,16.61,-48.66,40.48,-4.41,-32.48,54.64,43.36,-93.02,53.35,21.78,-71.47
000990,DB하이텍,2026-01-26,90700.0,-0.33,90.6,75.0,39459.0,16.43,1.919999957084656,5520.0,47181.0,1.3600000143051147,1230.0,-168.76,289.24,-115.98,445.51,176.02,-621.35,793.68,359.38,-1085.09,734.92,567.41,-1248.24,1522.58,1519.64,-3000.81
00781K,코리아써키트2우B,2026-01-26,13500.0,2.82,51.6,40.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.02,-0.02,0.0,0.02,-0.04,0.0,0.02,-0.05,0.0,0.02,-0.06
295310,에이치브이엠,2026-01-26,87700.0,-2.66,66.4,40.0,10438.0,0.0,15.789999961853027,0.0,5555.0,0.0,0.0,62.58,-25.3,-48.92,-81.89,74.53,-3.0,-229.03,164.41,26.51,-195.06,152.94,3.75,-273.71,105.9,132.74
457190,이수스페셜티케미컬,2026-01-26,99100.0,2.59,24.5,60.0,29936.0,276.82,24.38999938964844,358.0,4063.0,0.0,0.0,11.87,-206.65,157.49,92.52,12.76,-30.43,123.84,-165.56,111.69,185.47,357.53,-489.91,219.89,449.9,-501.66
