ticker,name,collection_date,close,price_change_pct,supply_score,fundamental_score,market_cap,PER,PBR,EPS,BPS,DIV,DPS,기관_5일,외인_5일,개인_5일,기관_15일,외인_15일,개인_15일,기관_30일,외인_30일,개인_30일,기관_50일,외인_50일,개인_50일,기관_100일,외인_100일,개인_100일
45226K,한화갤러리아우,2026-02-13,10080.0,0.5,8.7,40.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,-0.48,0.9,-1.5,-2.84,3.85,-3.75,-3.3,6.71,-4.47,-3.49,7.9,-4.47,-3.49,7.91
474170,루미르,2026-02-13,18810.0,-1.98,0.0,40.0,3352.0,0.0,5.46999979019165,0.0,3440.0,0.0,0.0,-24.94,-35.55,87.53,0.81,-0.85,71.67,22.89,-4.38,62.09,29.33,0.43,50.47,31.35,0.91,47.77
365270,큐라클,2026-02-13,13970.0,10.09,51.8,40.0,2956.0,0.0,7.380000114440918,0.0,1893.0,0.0,0.0,-1.49,11.5,-11.32,-14.63,0.69,12.21,-13.74,-38.39,46.88,-13.74,-11.57,21.7,-42.92,-23.6,63.67
244920,에이플러스에셋,2026-02-13,14060.0,-1.61,77.3,40.0,3179.0,128.99,2.109999895095825,109.0,6659.0,1.4199999570846558,200.0,-21.44,25.17,14.22,-28.88,61.88,-6.69,9.05,128.36,-98.66,63.02,116.73,-141.86,99.64,135.56,-218.86
056080,유진로봇,2026-02-13,37750.0,-4.91,100.0,40.0,14161.0,0.0,39.650001525878906,0.0,952.0,0.0,0.0,19.62,148.38,-163.81,367.67,45.34,-409.61,916.61,25.82,-936.12,1001.76,33.05,-1035.5,1029.1,59.51,-1088.9
189300,인텔리안테크,2026-02-13,124300.0,-5.19,100.0,40.0,13342.0,0.0,4.880000114440918,0.0,25493.0,0.07999999821186066,100.0,150.58,59.66,-175.71,750.22,47.02,-722.3,955.25,-24.43,-863.94,1107.25,87.29,-1131.33,1066.68,37.61,-1032.33
180400,DXVX,2026-02-13,4970.0,-1.58,64.7,40.0,4892.0,0.0,17.5,0.0,284.0,0.0,0.0,0.11,6.5,-3.62,0.11,9.48,-5.28,0.11,12.73,-8.21,0.11,13.21,-19.55,-1.93,15.6,-19.27
457190,이수스페셜티케미컬,2026-02-13,99700.0,-2.92,26.9,60.0,30123.0,278.49,24.540000915527344,358.0,4063.0,0.0,0.0,32.21,-95.42,57.9,-87.57,-17.1,63.61,13.33,121.72,-108.73,106.4,440.94,-537.75,118.26,561.0,-670.89
000990,DB하이텍,2026-02-13,93000.0,-1.9,26.0,75.0,40459.0,16.85,1.9700000286102295,5520.0,47181.0,1.3200000524520874,1230.0,-215.64,5.26,175.23,859.19,-781.58,-113.36,1435.94,-691.12,-776.17,1693.75,-387.48,-1275.24,2245.72,582.84,-2825.95
000720,현대건설,2026-02-13,114300.0,-0.95,60.0,40.0,127280.0,0.0,1.600000023841858,0.0,71394.0,0.5199999809265137,600.0,516.04,-287.8,-227.1,-54.3,24.38,-18.01,4.69,3022.96,-3040.14,1808.82,3036.55,-4884.56,3198.74,-307.92,-2915.05
298020,효성티앤씨,2026-02-13,404000.0,0.37,94.8,60.0,17484.0,12.96,1.2000000476837158,31175.0,338062.0,2.4800000190734863,10000.0,44.16,41.37,-81.26,301.93,7.71,-272.77,785.22,118.38,-858.53,874.5,49.04,-884.63,827.56,51.6,-842.77
010780,아이에스동서,2026-02-13,30100.0,-0.17,97.8,40.0,9086.0,0.0,0.6600000262260437,0.0,45642.0,3.319999933242798,1000.0,99.28,1.27,-96.35,127.19,-15.8,-114.77,114.75,11.98,-130.55,163.86,35.5,-203.5,137.48,37.47,-181.56
272210,한화시스템,2026-02-13,103400.0,-2.27,42.3,85.0,195343.0,42.69,7.769999980926514,2422.0,13316.0,0.3400000035762787,350.0,273.3,-468.39,155.99,327.57,-307.49,-67.88,1126.23,2166.66,-3338.95,2448.34,2857.93,-5301.3,1436.3,2999.98,-4428.16
006800,미래에셋증권,2026-02-13,61600.0,15.36,40.2,60.0,349325.0,39.87,2.9800000190734863,1545.0,20662.0,0.4099999964237213,250.0,-171.7,248.08,-52.94,-735.58,-220.27,1005.28,-84.85,584.62,-562.96,784.43,595.53,-1434.92,2170.25,-2266.09,679.93
005440,현대지에프홀딩스,2026-02-13,14420.0,3.52,34.3,100.0,22481.0,3.22,0.6700000166893005,4483.0,21615.0,1.4600000381469727,210.0,-52.1,-2.43,19.76,-26.24,19.8,-28.68,-32.27,46.45,-47.15,-7.37,36.98,-65.82,1.25,36.11,-78.03
012610,경인양행,2026-02-13,4800.0,-1.54,95.8,60.0,1998.0,12.97,0.8199999928474426,370.0,5828.0,1.0399999618530273,50.0,0.15,12.75,-11.5,-0.41,33.44,-33.01,-1.2,38.95,-38.48,-3.19,15.19,-11.31,-0.45,7.98,-6.95
452260,한화갤러리아,2026-02-13,2365.0,6.29,95.9,40.0,4585.0,0.0,0.5799999833106995,0.0,4080.0,0.0,0.0,-1.1,65.43,-65.24,-0.22,24.29,-28.28,-3.15,21.61,11.48,-1.45,20.12,13.13,-3.15,0.59,35.03
