ticker,name,collection_date,price_change_pct,supply_score,fundamental_score,market_cap,PER,PBR,EPS,BPS,DIV,DPS,기관_5일,외인_5일,개인_5일,기관_15일,외인_15일,개인_15일,기관_30일,외인_30일,개인_30일,기관_50일,외인_50일,개인_50일,기관_100일,외인_100일,개인_100일
000720,현대건설,2026-01-25,5.0,96.0,40.0,121600.0,0.0,1.5299999713897705,0.0,71394.0,0.550000011920929,600.0,-780.95,884.82,-89.77,58.99,2998.58,-3022.13,216.49,2917.45,-3101.32,2075.56,3418.11,-5481.51,2966.72,-372.51,-2583.24
012610,경인양행,2026-01-25,-3.16,19.0,60.0,1912.0,12.42,0.7900000214576721,370.0,5828.0,1.090000033378601,50.0,-0.04,-14.32,13.19,-0.79,5.51,-5.47,-5.83,-12.85,21.48,-2.69,-21.56,25.0,-0.26,-27.28,27.92
00680K,미래에셋증권2우B,2026-01-25,10.14,52.6,40.0,18411.0,0.0,0.0,0.0,0.0,1.8600000143051147,250.0,4.88,6.08,-3.79,20.75,-26.93,32.8,-66.98,104.91,-9.99,11.71,155.2,-154.27,62.44,624.55,-492.02
000990,DB하이텍,2026-01-25,-2.26,92.3,75.0,39589.0,16.49,1.9299999475479128,5520.0,47181.0,1.350000023841858,1230.0,-119.32,257.89,-136.94,576.75,90.45,-662.82,866.61,328.41,-1130.63,812.92,673.51,-1432.84,1582.43,1466.6,-3007.81
047040,대우건설,2026-01-25,4.02,19.2,65.0,21488.0,9.07,0.5,570.0,10444.0,0.0,0.0,394.48,-504.75,111.07,361.88,-401.08,41.84,429.66,-361.68,-67.17,469.36,-334.12,-134.52,415.14,-502.61,78.57
274090,켄코아에어로스페이스,2026-01-25,-0.22,68.1,40.0,3065.0,0.0,1.6299999952316284,0.0,14188.0,0.0,0.0,10.98,1.21,-10.37,-6.81,4.8,-10.32,0.84,3.9,-0.89,1.44,-2.75,4.85,9.03,3.04,-9.33
006800,미래에셋증권,2026-01-25,16.58,74.1,60.0,197346.0,22.52,1.6799999475479126,1545.0,20662.0,0.7200000286102295,250.0,-191.72,287.05,-133.26,650.73,804.89,-1568.24,1737.18,825.31,-2680.12,1422.82,187.31,-1734.29,3968.78,-2150.87,-737.64
457190,이수스페셜티케미컬,2026-01-25,-5.57,90.4,60.0,29181.0,269.83,23.780000686645508,358.0,4063.0,0.0,0.0,98.33,134.06,-167.32,100.9,138.81,-172.33,103.98,-0.24,-39.2,182.0,411.85,-546.15,215.83,483.9,-536.14
011500,한농화성,2026-01-25,2.41,51.1,40.0,3659.0,79.59,2.1700000762939453,294.0,10781.0,0.2599999904632568,60.0,0.38,2.62,-15.5,0.5,-4.19,-7.99,0.35,-10.15,-1.72,0.42,10.52,-22.62,-0.61,-9.8,-3.14
474170,루미르,2026-01-25,-3.26,80.3,40.0,2482.0,0.0,4.050000190734863,0.0,3440.0,0.0,0.0,8.84,-1.71,-8.77,22.08,-3.54,-9.58,31.55,5.13,-28.51,28.54,0.86,-20.93,23.39,-0.33,-14.78
189300,인텔리안테크,2026-01-25,4.85,83.7,40.0,8125.0,0.0,2.970000028610229,0.0,25493.0,0.1299999952316284,100.0,108.22,-119.15,3.14,205.03,-71.45,-141.64,323.05,18.1,-353.06,369.32,13.45,-394.11,288.1,41.74,-333.72
