ticker,name,collection_date,close,price_change_pct,supply_score,fundamental_score,market_cap,PER,PBR,EPS,BPS,DIV,DPS,기관_5일,외인_5일,개인_5일,기관_15일,외인_15일,개인_15일,기관_30일,외인_30일,개인_30일,기관_50일,외인_50일,개인_50일,기관_100일,외인_100일,개인_100일
11690,와이투솔루션,2026-01-12,4325.0,4.22,66.8,60.0,1582.0,24.03,1.4500000476837158,180.0,2973.0,0.0,0.0,-0.0,13.28,-13.82,0.01,-12.36,11.66,-0.01,-7.06,7.64,-0.33,-4.37,6.5,-19.52,-3.9,20.95
14910,성문전자,2026-01-12,3145.0,16.05,20.4,60.0,706.0,24.76,1.6399999856948853,127.0,1917.0,0.0,0.0,-0.09,-2.49,4.83,-0.1,-1.64,5.73,-0.1,-2.29,6.37,-0.69,-1.33,5.99,-0.99,-1.08,6.07
230,일동홀딩스,2026-01-12,13410.0,-2.76,25.1,100.0,1548.0,2.4,1.1299999952316284,5582.0,11857.0,0.0,0.0,0.04,-1.64,1.51,0.06,-10.14,9.67,0.03,-7.1,6.19,1.08,-2.77,0.73,1.54,-9.28,6.36
23810,인팩,2026-01-12,11730.0,0.26,55.1,40.0,1173.0,50.34,0.9399999976158142,233.0,12445.0,1.5299999713897705,180.0,-0.03,0.33,0.17,0.07,0.9,-5.93,0.06,1.7,-6.92,-2.59,4.62,-7.18,-2.73,2.71,-18.51
12205,계양전기우,2026-01-12,12030.0,9.36,58.6,40.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.06,0.0,0.2,-0.2,0.0,0.2,-0.2,0.0,0.2,-0.12,0.0,0.22,0.37
990,DB하이텍,2026-01-12,74000.0,2.92,97.6,75.0,32193.0,13.41,1.5700000524520874,5520.0,47181.0,1.659999966621399,1230.0,285.52,-92.55,-188.97,451.75,177.2,-546.16,735.85,101.81,-759.75,659.54,989.03,-1554.79,1292.54,1415.26,-2662.43
720,현대건설,2026-01-12,91100.0,20.18,100.0,40.0,101445.0,0.0,1.2799999713897705,0.0,71394.0,0.6600000262260437,600.0,293.85,904.61,-1189.09,231.58,1339.14,-1559.7,2344.69,1327.49,-3684.53,2381.7,610.48,-2967.56,2995.33,-2161.54,-845.28
11210,현대위아,2026-01-12,87000.0,-5.02,0.0,40.0,23660.0,19.25,0.6399999856948853,4520.0,135016.0,1.2599999904632568,1100.0,-166.14,-102.36,275.32,-31.17,-248.98,285.49,293.19,-245.66,-47.38,424.09,-270.94,-143.68,359.23,104.18,-459.6
295310,에이치브이엠,2026-01-12,77500.0,8.54,8.2,40.0,9224.0,0.0,13.949999809265137,0.0,5555.0,0.0,0.0,-73.29,39.92,22.78,-217.95,79.66,95.55,-188.8,130.72,20.49,-180.4,96.73,43.54,-256.38,70.45,145.96
42700,한미반도체,2026-01-12,167600.0,-4.93,100.0,95.0,159743.0,105.48,29.40999984741211,1589.0,5698.0,0.4300000071525574,720.0,849.73,462.55,-1294.17,1400.24,2640.72,-3960.81,1790.17,855.73,-2478.71,3311.12,52.76,-3192.74,4745.99,182.98,-4889.21
249420,일동제약,2026-01-12,40150.0,-3.72,0.0,40.0,12703.0,0.0,6.980000019073486,0.0,5755.0,0.0,0.0,26.2,-140.04,106.41,64.59,-682.03,605.87,280.62,-124.49,-157.44,309.88,-124.77,-196.76,313.55,-426.12,446.88
49630,재영솔루텍,2026-01-12,4570.0,-5.58,76.9,60.0,5342.0,93.27,5.550000190734863,49.0,824.0,0.0,0.0,0.07,-6.79,6.93,-1.38,66.51,-65.85,-4.64,61.93,35.84,-8.96,47.72,207.21,-6.67,31.02,361.95
12610,경인양행,2026-01-12,4415.0,-5.46,11.0,60.0,1837.0,11.93,0.7599999904632568,370.0,5828.0,1.1299999952316284,50.0,-0.72,-6.38,7.35,-1.51,-18.7,21.58,-2.62,-34.1,38.25,-2.32,-34.77,38.63,0.52,-39.81,40.46
