ticker,name,market,close,contractions_count,contractions_history,last_depth_pct,volume_dry_up,vol_ratio,vcp_score,jump_score,pivot_point,pivot_distance_pct,note
052690,한전기술,KOSPI,151600,4,"[22.7, 14.1, 13.3, 4.4]",4.42,True,0.78,90,80,151700,0.07,VCP Pattern Detected
45226K,한화갤러리아우,KOSPI,10160,9,"[1.1, 6.5, 11.5, 2.4, 3.7, 49.4, 0.0, 36.8, 9.7]",9.67,True,0.3,80,50,11070,8.96,VCP Pattern Detected
036170,에이치엠넥스,KOSDAQ,1710,7,"[5.6, 6.5, 5.1, 9.1, 4.7, 21.1, 9.9]",9.9,True,0.48,80,50,1798,5.15,VCP Pattern Detected
101490,에스앤에스텍,KOSDAQ,92800,6,"[9.5, 11.9, 28.0, 16.8, 10.3, 5.7]",5.66,True,0.57,70,80,93700,0.97,VCP Pattern Detected
214370,케어젠,KOSDAQ,145200,9,"[5.9, 6.4, 14.7, 6.0, 7.4, 8.0, 26.5, 9.1, 8.6]",8.57,True,0.65,70,50,126000,-13.22,VCP Pattern Detected
000720,현대건설,KOSPI,124300,6,"[11.5, 8.9, 15.8, 9.0, 11.9, 9.5]",9.52,True,0.69,70,50,109200,-12.15,VCP Pattern Detected
123750,알톤,KOSDAQ,2850,7,"[2.6, 3.0, 20.2, 9.7, 5.8, 17.4, 9.4]",9.38,True,0.71,70,50,3145,10.35,VCP Pattern Detected
027360,아주IB투자,KOSDAQ,5070,7,"[4.3, 8.3, 7.2, 11.1, 21.7, 13.1, 9.3]",9.3,True,0.51,70,50,5110,0.79,VCP Pattern Detected
000880,한화,KOSPI,119800,7,"[12.1, 7.2, 27.5, 7.4, 4.2, 20.6, 7.9]",7.89,True,0.6,70,50,122900,2.59,VCP Pattern Detected
417840,저스템,KOSDAQ,6920,8,"[7.6, 4.1, 10.6, 28.5, 16.6, 15.7, 25.7, 12.9]",12.93,True,0.41,60,50,7500,8.38,VCP Pattern Detected
053700,삼보모터스,KOSDAQ,8060,8,"[8.7, 3.2, 4.5, 2.9, 3.1, 12.7, 24.1, 13.7]",13.73,True,0.39,60,50,8300,2.98,VCP Pattern Detected
018880,한온시스템,KOSPI,5270,4,"[14.2, 17.3, 26.0, 5.9]",5.88,False,5.05,60,60,3400,-35.48,VCP Pattern Detected
001120,LX인터내셔널,KOSPI,47850,7,"[6.0, 5.6, 3.0, 0.0, 3.5, 7.4, 4.8]",4.78,False,1.27,60,60,37650,-21.32,VCP Pattern Detected
000120,CJ대한통운,KOSPI,140100,8,"[4.9, 4.9, 4.8, 4.1, 3.4, 6.9, 7.6, 2.7]",2.71,False,2.84,60,80,99600,-28.91,VCP Pattern Detected
005960,동부건설,KOSPI,8660,5,"[18.1, 9.4, 8.8, 10.9, 4.9]",4.89,False,2.74,60,60,5520,-36.26,VCP Pattern Detected
244920,에이플러스에셋,KOSPI,14000,6,"[4.7, 11.2, 18.2, 5.8, 9.2, 4.5]",4.45,False,0.93,60,60,11000,-21.43,VCP Pattern Detected
