ticker,name,market,close,contractions_count,contractions_history,last_depth_pct,volume_dry_up,vol_ratio,vcp_score,jump_score,pivot_point,pivot_distance_pct,note
090710,휴림로봇,KOSDAQ,14720,9,"[4.1, 13.5, 5.7, 35.4, 5.9, 12.7, 0.0, 37.9, 4.6]",4.57,True,0.33,90,80,14670,-0.34,VCP Pattern Detected
45226K,한화갤러리아우,KOSPI,10220,9,"[1.1, 6.5, 11.5, 2.4, 3.7, 49.4, 0.0, 36.8, 9.7]",9.67,True,0.41,80,50,11070,8.32,VCP Pattern Detected
027360,아주IB투자,KOSDAQ,4900,6,"[8.3, 7.2, 11.1, 21.7, 13.1, 9.3]",9.3,True,0.46,80,50,5110,4.29,VCP Pattern Detected
101490,에스앤에스텍,KOSDAQ,88700,6,"[9.5, 11.9, 28.0, 16.8, 10.3, 5.7]",5.66,True,0.72,70,80,93700,5.64,VCP Pattern Detected
180400,DXVX,KOSDAQ,5060,9,"[13.6, 14.8, 10.0, 0.0, 20.3, 7.0, 10.1, 16.8, 9.3]",9.29,True,0.6,70,50,4090,-19.17,VCP Pattern Detected
010120,LSELECTRIC,KOSPI,722000,8,"[0.0, 13.6, 9.9, 7.8, 13.8, 12.2, 6.4, 7.1]",7.05,True,0.66,70,30,539000,-25.35,VCP Pattern Detected
298020,효성티앤씨,KOSPI,384500,7,"[9.1, 10.5, 6.2, 1.4, 0.0, 10.7, 8.1]",8.08,True,0.75,70,50,414500,7.8,VCP Pattern Detected
052690,한전기술,KOSPI,161600,4,"[22.7, 14.1, 13.3, 4.4]",4.42,False,1.07,70,60,151700,-6.13,VCP Pattern Detected
244920,에이플러스에셋,KOSPI,14060,6,"[4.7, 11.2, 18.2, 5.8, 9.2, 4.5]",4.45,False,0.89,60,60,11000,-21.76,VCP Pattern Detected
123750,알톤,KOSDAQ,2710,7,"[2.6, 3.0, 20.2, 9.7, 5.8, 17.4, 13.8]",13.83,True,0.44,60,50,3145,16.05,VCP Pattern Detected
049800,우진플라임,KOSPI,2830,6,"[4.1, 0.5, 2.3, 9.0, 7.2, 3.9]",3.88,False,2.84,60,60,1957,-30.85,VCP Pattern Detected
032830,삼성생명,KOSPI,232000,7,"[6.7, 6.2, 7.7, 14.0, 4.1, 4.6, 4.4]",4.41,False,1.61,60,60,165400,-28.71,VCP Pattern Detected
001500,현대차증권,KOSPI,12850,7,"[9.8, 10.7, 8.4, 4.1, 2.7, 4.0, 4.6]",4.55,False,7.08,60,40,9670,-24.75,VCP Pattern Detected
005960,동부건설,KOSPI,9410,5,"[18.1, 9.4, 8.8, 10.9, 4.9]",4.89,False,3.4,60,60,5520,-41.34,VCP Pattern Detected
010690,화신,KOSPI,13110,4,"[13.3, 8.6, 14.7, 9.1]",9.1,False,3.75,60,30,9780,-25.4,VCP Pattern Detected
014910,성문전자,KOSPI,1825,6,"[4.6, 4.4, 12.4, 5.9, 41.7, 11.6]",11.59,True,0.22,60,50,2045,12.05,VCP Pattern Detected
005440,현대지에프홀딩스,KOSPI,15600,4,"[16.9, 9.3, 11.2, 9.6]",9.6,False,5.61,60,30,8750,-43.91,VCP Pattern Detected
047040,대우건설,KOSPI,7500,5,"[6.9, 3.6, 14.7, 5.3, 5.0]",4.95,False,2.7,60,60,3835,-48.87,VCP Pattern Detected
009290,광동제약,KOSPI,11080,5,"[8.8, 6.8, 2.5, 5.9, 2.7]",2.74,False,7.95,60,80,5850,-47.2,VCP Pattern Detected
417840,저스템,KOSDAQ,6750,7,"[4.1, 10.6, 28.5, 16.6, 15.7, 25.7, 12.9]",12.93,True,0.47,60,50,7500,11.11,VCP Pattern Detected
005935,삼성전자우,KOSPI,136100,3,"[13.2, 8.8, 6.8]",6.8,False,1.39,60,30,120600,-11.39,VCP Pattern Detected
036170,에이치엠넥스,KOSDAQ,2250,7,"[5.6, 6.5, 5.1, 9.1, 4.7, 21.1, 9.9]",9.9,False,1.07,50,30,1798,-20.09,VCP Pattern Detected
452260,한화갤러리아,KOSPI,2835,9,"[3.8, 4.0, 5.3, 4.8, 0.0, 1.8, 22.1, 20.1, 7.4]",7.38,False,1.21,50,30,2235,-21.16,VCP Pattern Detected
214370,케어젠,KOSDAQ,145400,8,"[6.4, 14.7, 6.0, 7.4, 8.0, 26.5, 9.1, 8.6]",8.57,False,0.96,50,30,126000,-13.34,VCP Pattern Detected
009150,삼성전기,KOSPI,426500,5,"[7.4, 5.8, 16.7, 7.5, 6.8]",6.85,False,1.53,50,30,292000,-31.54,VCP Pattern Detected
092870,엑시콘,KOSDAQ,30900,7,"[22.9, 12.2, 12.2, 16.4, 11.6, 10.7, 5.6]",5.64,False,0.88,50,60,28350,-8.25,VCP Pattern Detected
053700,삼보모터스,KOSDAQ,8350,8,"[8.7, 3.2, 4.5, 2.9, 3.1, 12.7, 24.1, 13.7]",13.73,True,0.62,50,50,8300,-0.6,VCP Pattern Detected
088350,한화생명,KOSPI,5970,7,"[12.5, 0.0, 5.5, 10.2, 4.0, 10.5, 5.8]",5.76,False,6.13,50,60,3385,-43.3,VCP Pattern Detected
127120,제이에스링크,KOSDAQ,37300,8,"[0.0, 23.5, 20.4, 20.1, 14.3, 10.1, 13.3, 7.7]",7.73,False,0.99,50,30,31050,-16.76,VCP Pattern Detected
079000,와토스코리아,KOSDAQ,11050,8,"[11.1, 6.5, 0.9, 0.0, 1.3, 0.5, 10.0, 6.0]",6.0,False,5.04,50,30,7000,-36.65,VCP Pattern Detected
240810,원익IPS,KOSDAQ,113900,5,"[5.3, 5.8, 20.9, 10.6, 8.8]",8.83,False,0.97,50,30,80400,-29.41,VCP Pattern Detected
