ticker,name,market,close,volume,change_pct,contractions_count,contractions_history,last_depth_pct,volume_dry_up,vol_ratio,vcp_score,jump_score,pivot_point,pivot_distance_pct,note,vcp_mode
049800,우진플라임,Market,2485,18217,-0.0079840319361277,5,"[9.0, 7.2, 3.9, 32.8, 4.3]",4.3,True,0.16,80,80,2560,3.02,VCP Pattern Detected,Classic
006800,미래에셋증권,Market,69900,3198774,0.0115774240231547,6,"[16.5, 14.5, 9.1, 5.6, 23.2, 2.8]",2.8,True,0.49,80,100,71091,1.7,VCP Pattern Detected,Classic
009290,광동제약,Market,9040,389426,-0.0033076074972436,6,"[6.8, 2.5, 5.9, 2.7, 31.1, 3.8]",3.8,True,0.33,80,80,9200,1.77,VCP Pattern Detected,Classic
012860,모베이스전자,Market,3900,1529755,0.015625,9,"[4.5, 6.0, 6.0, 2.0, 0.0, 37.6, 0.0, 28.3, 5.7]",5.65,True,0.19,70,80,4070,4.36,VCP Pattern Detected,Classic
012450,한화에어로스페이스,Market,1390000,159117,-0.0042979942693409,8,"[17.6, 6.7, 11.4, 17.0, 11.4, 7.5, 16.5, 3.9]",3.86,True,0.69,70,80,1242000,-10.65,VCP Pattern Detected,Classic
058610,에스피지,Market,127500,194845,0.02,6,"[9.3, 16.8, 17.6, 18.3, 28.5, 7.4]",7.41,True,0.2,70,50,135000,5.88,VCP Pattern Detected,Classic
013520,화승코퍼레이션,Market,2920,241835,-0.0168350168350168,7,"[16.4, 5.3, 12.6, 4.8, 4.8, 20.3, 5.8]",5.81,True,0.4,70,80,3100,6.16,VCP Pattern Detected,Classic
289080,SV인베스트먼트,Market,3580,1305829,0.0042075736325386,7,"[0.0, 11.3, 9.2, 7.8, 13.9, 29.4, 6.3]",6.28,True,0.47,70,50,3660,2.23,VCP Pattern Detected,Classic
009420,한올바이오파마,Market,57400,339355,0.0213523131672597,9,"[7.3, 6.3, 17.2, 7.8, 25.1, 11.0, 12.5, 20.6, 6.6]",6.62,True,0.67,60,50,57400,0.0,VCP Pattern Detected,Classic
033130,디지틀조선,Market,2915,318938,0.0051724137931035,5,"[2.1, 1.3, 3.3, 19.5, 7.8]",7.84,True,0.66,60,50,1888,-35.23,VCP Pattern Detected,Classic
