ticker,name,collection_date,close,price_change_pct,supply_score,fundamental_score,market_cap,PER,PBR,EPS,BPS,DIV,DPS,기관_5일,외인_5일,개인_5일,기관_15일,외인_15일,개인_15일,기관_30일,외인_30일,개인_30일,기관_50일,외인_50일,개인_50일,기관_100일,외인_100일,개인_100일
090710,휴림로봇,2026-03-06,12860.0,-1.0,0.0,40.0,0,476.3,10.88,27,1181,0.0,0,8.16,4.13,-12.28,17.19,18.16,-35.36,44.12,-730.14,686.03,53.4,118.22,-171.62,42.68,35.73,-78.41
010690,화신,2026-03-06,12800.0,-3.1,100.0,80.0,4470,6.8,0.82,1883,15609,1.33,0,-7.11,109.96,-102.85,133.09,94.57,-227.67,143.83,17.54,-161.37,146.21,18.69,-164.9,125.22,139.29,-264.51
218410,RFHIC,2026-03-06,71500.0,6.4,0.0,40.0,0,119.77,5.63,597,12699,0.56,0,149.22,312.28,-461.51,35.43,440.74,-476.17,224.24,769.1,-993.33,244.67,981.89,-1226.56,396.56,955.59,-1352.15
031980,피에스케이홀딩스,2026-03-06,117300.0,7.52,0.0,95.0,0,22.23,5.23,5277,22428,0.92,0,343.73,79.89,-423.62,609.35,19.65,-629.0,1228.32,72.87,-1301.19,1537.72,23.75,-1561.46,1629.03,-119.67,-1509.37
012450,한화에어로스페이스,2026-03-06,1481000.0,7.24,0.0,95.0,0,27.07,8.46,54715,175059,0.47,0,-6.56,-1294.71,1301.26,-883.27,-2462.03,3345.3,-92.69,-5820.23,5912.92,3512.3,-1295.71,-2216.6,2290.17,-4872.14,2581.97
327260,RF머트리얼즈,2026-03-06,51900.0,6.68,100.0,40.0,4381,6487.5,9.51,8,5457,0.0,0,17.68,40.27,-57.95,13.27,57.59,-70.86,-78.07,225.07,-147.0,-15.31,152.11,-136.79,89.06,166.65,-255.71
056080,유진로봇,2026-03-06,32100.0,6.12,0.0,20.0,0,0.0,41.74,-185,769,0.0,0,-16.14,117.89,-101.76,3.67,230.16,-233.83,688.91,-140.24,-548.67,902.72,86.7,-989.42,1016.73,211.25,-1227.97
267250,HD현대,2026-03-06,279000.0,1.45,0.0,60.0,0,30.71,2.05,9086,136097,1.43,0,22.58,363.48,-386.06,478.41,750.35,-1228.75,517.75,1025.77,-1543.52,141.01,1777.96,-1918.97,-78.4,2333.14,-2254.73
127120,제이에스링크,2026-03-06,39650.0,9.99,0.0,20.0,0,0.0,25.8,-494,1536,0.0,0,-1.51,57.5,-55.99,13.7,24.37,-38.07,157.13,150.82,-307.96,137.03,160.56,-297.6,244.64,89.03,-333.66
047810,한국항공우주,2026-03-06,183300.0,2.4,0.0,60.0,0,130.37,10.02,1406,18293,0.27,0,-389.61,477.15,-87.54,201.37,-421.42,220.05,1727.76,-2888.46,1160.7,3685.04,-4412.27,727.23,6148.07,-7375.16,1227.09
037350,성도이엔지,2026-03-06,11400.0,5.56,14.9,65.0,1734,7.17,0.5,1590,22800,2.19,0,-0.19,-9.32,9.51,1.43,-8.97,7.54,3.12,0.69,-3.81,2.93,-2.04,-0.89,2.17,0.59,-2.77
036170,에이치엠넥스,2026-03-06,3300.0,8.2,48.4,40.0,2025,34.74,1.52,95,2171,0.0,0,0.05,2.43,-2.49,0.05,-4.43,4.38,0.04,-2.42,2.37,0.02,-1.24,1.22,-1.32,-0.05,1.36
365270,큐라클,2026-03-06,16650.0,1.34,21.7,20.0,3650,0.0,8.99,-1052,1852,0.0,0,-1.45,-10.78,12.23,-26.28,12.4,13.88,-36.92,-16.16,53.08,-38.75,-10.77,49.52,-41.04,-30.25,71.29
