ticker,name,market,close,contractions_count,contractions_history,last_depth_pct,volume_dry_up,vol_ratio,vcp_score,jump_score,note
244920,에이플러스에셋,KOSPI,10850,7,"[9.8, 4.7, 11.2, 18.2, 5.8, 9.2, 4.5]",4.45,True,0.24,90,80,VCP Pattern Detected
049630,재영솔루텍,KOSDAQ,5270,8,"[11.0, 20.3, 8.2, 6.9, 21.8, 25.0, 16.4, 8.0]",8.05,True,0.7,70,50,VCP Pattern Detected
005850,에스엘,KOSPI,56700,8,"[3.5, 2.1, 4.7, 7.7, 4.7, 7.2, 8.8, 4.5]",4.47,False,2.82,60,60,VCP Pattern Detected
023810,인팩,KOSPI,9470,6,"[3.1, 10.2, 0.0, 10.7, 3.3, 2.6]",2.59,False,2.38,60,80,VCP Pattern Detected
005930,삼성전자,KOSPI,159500,5,"[2.6, 5.5, 14.7, 6.1, 2.4]",2.41,False,1.2,60,80,VCP Pattern Detected
321370,센서뷰,KOSDAQ,3300,4,"[13.4, 15.5, 36.7, 5.9]",5.92,False,2.45,60,60,VCP Pattern Detected
457190,이수스페셜티케미컬,KOSPI,104300,5,"[9.3, 12.1, 12.6, 19.7, 7.4]",7.41,False,3.21,50,30,VCP Pattern Detected
056080,유진로봇,KOSDAQ,31650,7,"[6.7, 6.6, 12.3, 10.9, 21.1, 18.1, 5.2]",5.16,False,1.96,50,60,VCP Pattern Detected
464080,에스오에스랩,KOSDAQ,26150,7,"[22.0, 5.7, 0.0, 20.6, 4.1, 22.4, 5.8]",5.78,False,1.57,50,60,VCP Pattern Detected
376270,HEM파마,KOSDAQ,81700,8,"[7.6, 2.6, 6.3, 3.2, 5.5, 10.5, 23.3, 7.0]",6.99,False,1.23,50,30,VCP Pattern Detected
