ticker,name,collection_date,close,price_change_pct,supply_score,fundamental_score,market_cap,PER,PBR,EPS,BPS,DIV,DPS,기관_5일,외인_5일,개인_5일,기관_15일,외인_15일,개인_15일,기관_30일,외인_30일,개인_30일,기관_50일,외인_50일,개인_50일,기관_100일,외인_100일,개인_100일
052020,에스티큐브,2026-03-18,16300.0,0.49,65.4,20.0,11081,0.0,14.09,-312,1156,0.0,0,1.08,-5.47,4.38,1.79,54.13,-55.92,1.79,89.55,-91.35,1.79,86.69,-88.48,1.82,115.8,-117.62
010690,화신,2026-03-18,12610.0,-1.1,71.9,80.0,4403,6.7,0.81,1883,15567,1.35,0,-11.93,-3.41,15.34,-20.01,81.63,-61.63,130.76,48.33,-179.09,145.74,2.73,-148.47,138.77,96.45,-235.22
127120,제이에스링크,2026-03-18,38650.0,-3.5,77.2,20.0,13187,0.0,25.15,-494,1536,0.0,0,69.68,-30.71,-38.97,103.52,-32.57,-70.95,245.06,16.03,-261.08,271.45,75.18,-346.64,353.29,60.61,-413.9
327260,RF머트리얼즈,2026-03-18,55700.0,-1.07,0.0,40.0,4702,6962.5,10.2,8,5460,0.0,0,-37.34,-69.01,106.35,102.74,-103.63,0.88,52.45,24.19,-76.64,48.7,-7.44,-41.25,113.11,61.68,-174.8
042700,한미반도체,2026-03-18,311000.0,3.32,77.4,95.0,296421,139.27,42.73,2233,7278,0.26,0,-258.31,-1250.14,1508.45,5063.1,915.21,-5978.32,7422.82,106.72,-7529.54,9515.54,4254.52,-13770.06,11027.54,499.87,-11527.41
009290,광동제약,2026-03-18,9040.0,-0.33,52.2,40.0,4502,16.23,0.66,557,13696,1.11,0,-2.36,-2.68,5.04,-0.53,12.67,-12.14,-1.79,-72.62,74.41,-1.6,-69.4,70.99,0.17,-61.02,60.85
040160,누리플렉스,2026-03-18,10200.0,2.2,40.0,20.0,1230,0.0,1.6,-591,6375,0.0,0,0.0,3.44,-3.44,0.13,-8.3,8.16,-0.25,-5.81,6.06,-0.22,-6.36,6.58,-0.86,-12.3,13.16
031980,피에스케이홀딩스,2026-03-18,108200.0,4.34,95.0,95.0,23331,20.5,4.82,5277,22448,1.0,0,-48.87,108.7,-59.82,303.47,195.53,-499.0,528.57,302.35,-830.92,1487.63,153.57,-1641.21,1461.49,139.19,-1600.68
272210,한화시스템,2026-03-18,139800.0,0.65,36.6,40.0,264109,109.05,5.39,1282,25936,0.36,0,110.38,127.64,-238.02,-274.79,-1018.31,1293.1,-87.45,-1727.27,1814.72,796.6,1055.27,-1851.87,1559.22,1537.32,-3096.54
012610,경인양행,2026-03-18,4100.0,-0.12,50.4,40.0,1706,22.28,0.7,184,5857,1.22,0,-3.72,1.09,2.63,-4.03,9.44,-5.42,-4.39,45.51,-41.13,-5.24,77.49,-72.25,-4.48,49.46,-44.99
036170,에이치엠넥스,2026-03-18,5080.0,-6.1,82.4,40.0,3117,53.47,2.34,95,2170,0.0,0,-0.0,16.19,-16.19,0.05,16.93,-16.99,0.05,17.52,-17.57,0.02,18.99,-19.01,-1.32,20.21,-18.89
420770,기가비스,2026-03-18,77300.0,9.8,100.0,40.0,9798,240.06,4.93,322,15679,1.03,0,72.0,-18.46,-53.54,296.62,-48.7,-247.92,440.08,-55.23,-384.85,604.12,4.11,-608.23,586.25,23.44,-609.69
000440,중앙에너비스,2026-03-18,28700.0,-11.56,28.2,20.0,1787,0.0,2.45,-179,11714,1.23,0,0.0,-6.18,6.18,0.0,-0.07,0.07,0.0,-21.38,21.38,0.0,-22.59,22.59,-0.43,-12.88,13.32
006340,대원전선,2026-03-18,6520.0,14.99,0.0,60.0,5113,45.92,4.29,142,1519,0.0,0,-9.22,-81.29,90.51,-34.56,4.07,30.5,0.59,52.03,-52.61,-4.71,43.58,-38.87,82.8,-16.43,-66.37
