ticker,name,collection_date,price_change_pct,supply_score,fundamental_score,market_cap,PER,PBR,EPS,BPS,DIV,DPS,기관_5일,외인_5일,개인_5일,기관_15일,외인_15일,개인_15일,기관_30일,외인_30일,개인_30일,기관_50일,외인_50일,개인_50일,기관_100일,외인_100일,개인_100일
000720,현대건설,2026-01-18,4.4,100.0,40.0,116144.0,0.0,1.4600000381469729,0.0,71394.0,0.5799999833106995,600.0,611.29,1522.12,-2119.97,384.3,2287.17,-2658.12,2644.08,2127.35,-4776.78,2853.39,2246.27,-5067.77,3938.53,-1894.65,-2062.79
012610,경인양행,2026-01-18,8.23,93.6,60.0,2081.0,13.51,0.8600000143051147,370.0,5828.0,1.0,50.0,-0.01,23.45,-23.1,-1.86,15.76,-12.56,-2.74,-3.93,8.51,-2.23,-7.34,11.49,-0.01,-13.28,14.86
00680K,미래에셋증권2우B,2026-01-18,4.48,34.8,40.0,17864.0,0.0,0.0,0.0,0.0,1.909999966621399,250.0,-6.94,-12.41,33.73,18.86,-47.61,50.13,-47.71,88.82,-21.09,36.44,157.49,-151.45,48.41,630.04,-482.67
000990,DB하이텍,2026-01-18,4.03,100.0,75.0,37066.0,15.43,1.809999942779541,5520.0,47181.0,1.440000057220459,1230.0,417.01,-50.69,-369.7,668.46,14.58,-648.12,953.89,136.21,-1024.94,1015.9,861.17,-1787.85,1676.13,1333.96,-2970.67
047040,대우건설,2026-01-18,13.35,79.4,65.0,18703.0,7.89,0.4300000071525574,570.0,10444.0,0.0,0.0,-1.06,75.27,-73.38,-25.23,123.23,-95.53,51.68,184.87,-236.83,64.77,140.2,-211.43,117.86,49.54,-168.84
274090,켄코아에어로스페이스,2026-01-18,-2.32,64.2,40.0,2614.0,0.0,1.3899999856948853,0.0,14188.0,0.0,0.0,-20.03,24.29,-6.77,-8.87,12.49,3.12,-9.39,2.23,9.21,-10.29,-10.46,22.16,-1.2,2.99,-0.9
006800,미래에셋증권,2026-01-18,1.46,83.2,60.0,176931.0,20.19,1.5099999904632568,1545.0,20662.0,0.800000011920929,250.0,402.46,-134.67,-270.81,1440.51,617.2,-2120.9,1711.73,528.74,-2306.94,1686.94,-696.05,-929.82,4153.35,-2264.55,-767.98
457190,이수스페셜티케미컬,2026-01-18,-3.22,41.4,60.0,18185.0,168.16,14.81999969482422,358.0,4063.0,0.0,0.0,7.95,21.73,-27.42,18.81,-100.66,72.29,95.63,323.98,-434.03,81.87,242.95,-334.91,127.02,323.48,-363.71
011500,한농화성,2026-01-18,0.13,35.4,40.0,2439.0,53.06,1.4500000476837158,294.0,10781.0,0.3799999952316284,60.0,-0.01,0.71,-0.46,0.14,-10.82,11.76,-0.04,0.73,0.23,-1.53,5.91,-4.22,-1.44,-20.11,20.5
474170,루미르,2026-01-18,-4.73,82.9,40.0,2119.0,0.0,3.4600000381469727,0.0,3440.0,0.0,0.0,6.06,-3.91,2.41,14.83,12.09,-16.62,19.69,2.99,-12.43,19.31,-3.1,-7.68,17.33,5.7,-13.09
189300,인텔리안테크,2026-01-18,0.73,100.0,40.0,7395.0,0.0,2.700000047683716,0.0,25493.0,0.1500000059604644,100.0,34.11,63.45,-93.58,181.24,41.93,-233.68,248.82,159.42,-412.17,239.24,120.34,-364.53,174.59,173.91,-344.5
