ticker,name,collection_date,price_change_pct,supply_score,fundamental_score,market_cap,PER,PBR,EPS,BPS,DIV,DPS,기관_5일,외인_5일,개인_5일,기관_15일,외인_15일,개인_15일,기관_30일,외인_30일,개인_30일,기관_50일,외인_50일,개인_50일,기관_100일,외인_100일,개인_100일
000720,현대건설,2026-01-11,1.07,96.4,40.0,84408.0,0.0,1.059999942779541,0.0,71394.0,0.7900000214576721,600.0,228.65,591.63,-812.39,89.92,952.66,-1031.46,2293.03,937.76,-3252.08,2618.68,-236.5,-2357.13,2705.27,-2675.69,-33.42
012610,경인양행,2026-01-11,-2.91,15.9,60.0,1943.0,12.62,0.800000011920929,370.0,5828.0,1.0700000524520874,50.0,-0.74,-3.62,4.44,-1.7,-17.89,21.31,-2.56,-31.27,35.41,-2.37,-32.02,35.91,0.74,-36.92,37.4
00680K,미래에셋증권2우B,2026-01-11,-0.91,58.6,40.0,16388.0,0.0,0.0,0.0,0.0,2.0899999141693115,250.0,22.81,-20.6,2.85,-65.73,97.33,-34.18,-23.33,127.2,-103.2,66.9,158.23,-193.16,32.33,697.09,-544.71
000990,DB하이텍,2026-01-11,0.28,95.0,75.0,31280.0,13.03,1.5199999809265137,5520.0,47181.0,1.7100000381469729,1230.0,279.06,-116.75,-156.17,377.03,169.08,-465.01,639.53,91.82,-658.03,567.92,1006.73,-1484.85,1213.98,1453.88,-2623.96
047040,대우건설,2026-01-11,3.43,61.4,65.0,15669.0,6.61,0.3600000143051147,570.0,10444.0,0.0,0.0,-31.54,28.4,4.14,-2.66,54.89,-52.16,63.91,107.07,-171.97,60.93,-32.64,-36.97,124.73,-57.25,-69.64
274090,켄코아에어로스페이스,2026-01-11,0.95,12.5,40.0,2778.0,0.0,1.4900000095367432,0.0,14188.0,0.0,0.0,2.24,-20.7,6.82,14.97,-32.27,21.69,10.45,-27.99,21.92,12.01,-32.44,24.24,18.86,-18.14,2.92
006800,미래에셋증권,2026-01-11,-1.99,94.5,60.0,153680.0,17.54,1.309999942779541,1545.0,20662.0,0.9200000166893004,250.0,439.99,652.51,-1164.17,1524.68,629.37,-2209.56,1291.37,491.03,-1840.06,1392.93,-1323.93,-63.15,3682.43,-1891.83,-659.32
457190,이수스페셜티케미컬,2026-01-11,-0.52,17.6,60.0,17370.0,160.61,14.149999618530272,358.0,4063.0,0.0,0.0,-5.38,-16.97,22.41,57.18,-242.76,184.18,97.47,320.18,-437.51,50.6,232.84,-286.16,113.61,276.89,-299.6
011500,한농화성,2026-01-11,-0.4,20.4,40.0,2325.0,50.58,1.3799999952316284,294.0,10781.0,0.4000000059604645,60.0,0.13,-7.53,7.96,0.04,-11.29,12.07,0.26,9.0,-8.65,-2.0,1.66,-0.57,-1.57,-28.84,29.12
474170,루미르,2026-01-11,-3.73,90.9,40.0,2250.0,0.0,3.670000076293945,0.0,3440.0,0.0,0.0,7.18,2.09,-3.23,17.29,15.37,-26.75,13.73,2.83,-10.92,22.49,2.0,-20.29,10.64,11.46,-16.7
189300,인텔리안테크,2026-01-11,1.94,100.0,40.0,7889.0,0.0,2.880000114440918,0.0,25493.0,0.1400000005960464,100.0,62.7,-15.76,-51.2,177.99,3.25,-193.73,231.74,86.56,-325.6,149.2,50.27,-205.59,110.23,80.34,-193.09
