ticker,name,market,close,contractions_count,contractions_history,last_depth_pct,volume_dry_up,vol_ratio,vcp_score,jump_score,note
092200,디아이씨,KOSPI,12450,9,"[4.1, 4.6, 3.3, 11.2, 9.1, 18.9, 16.1, 19.3, 7.5]",7.49,True,0.47,80,50,VCP Pattern Detected
049630,재영솔루텍,KOSDAQ,7200,8,"[11.0, 20.3, 8.2, 6.9, 21.8, 25.0, 16.4, 8.0]",8.05,True,0.65,70,50,VCP Pattern Detected
023810,인팩,KOSPI,13180,6,"[3.1, 10.2, 0.0, 10.7, 3.3, 2.6]",2.59,False,1.23,60,80,VCP Pattern Detected
005850,에스엘,KOSPI,64800,8,"[3.5, 2.1, 4.7, 7.7, 4.7, 7.2, 8.8, 4.5]",4.47,False,2.92,60,60,VCP Pattern Detected
321370,센서뷰,KOSDAQ,4130,4,"[13.4, 15.5, 36.7, 5.9]",5.92,False,3.07,60,60,VCP Pattern Detected
012860,모베이스전자,KOSDAQ,4760,8,"[2.9, 4.2, 0.0, 6.8, 4.5, 6.0, 6.0, 2.0]",2.04,False,3.51,60,80,VCP Pattern Detected
307950,현대오토에버,KOSPI,485000,7,"[2.0, 5.4, 14.0, 19.9, 4.1, 14.7, 6.9]",6.89,False,1.02,50,30,VCP Pattern Detected
272210,한화시스템,KOSPI,88800,7,"[17.8, 5.0, 3.5, 15.5, 16.7, 16.5, 7.5]",7.48,False,1.33,50,30,VCP Pattern Detected
457190,이수스페셜티케미컬,KOSPI,88000,6,"[14.9, 9.3, 12.1, 12.6, 19.7, 7.4]",7.41,False,3.6,50,30,VCP Pattern Detected
022100,포스코DX,KOSPI,42850,7,"[15.2, 0.7, 9.4, 14.6, 14.3, 11.2, 9.5]",9.53,False,4.63,50,30,VCP Pattern Detected
295310,에이치브이엠,KOSDAQ,88500,6,"[19.8, 14.7, 7.2, 17.6, 10.3, 7.9]",7.92,False,1.69,50,30,VCP Pattern Detected
056080,유진로봇,KOSDAQ,34200,7,"[6.7, 6.6, 12.3, 10.9, 21.1, 18.1, 5.2]",5.16,False,3.11,50,60,VCP Pattern Detected
