Ticker,Market,종목명,등락률,시가,종가,거래량
012200,KOSPI,계양전기,471.93,1411,8070,236632032
45226K,KOSPI,한화갤러리아우,379.15,2110,10110,52110102
004310,KOSPI,현대약품,263.01,3650,13250,287685357
084670,KOSPI,동양고속,240.63,16440,56000,37207324
001430,KOSPI,세아베스틸지주,171.84,27700,75300,30664276
012205,KOSPI,계양전기우,142.86,2870,6970,9207732
006800,KOSPI,미래에셋증권,135.86,21750,51300,337101923
272210,KOSPI,한화시스템,122.61,45550,101400,172119148
047040,KOSPI,대우건설,115.56,3470,7480,305557765
452260,KOSPI,한화갤러리아,106.07,1070,2205,1142203851
033240,KOSPI,자화전자,105.65,20350,41850,20332823
130660,KOSPI,한전산업,92.9,10990,21200,65861751
005380,KOSPI,현대차,91.35,266000,509000,125812532
307950,KOSPI,현대오토에버,90.79,233500,445500,24144647
457190,KOSPI,이수스페셜티케미컬,89.14,52500,99300,42183822
000390,KOSPI,삼화페인트,81.68,5840,10610,120177283
049800,KOSPI,우진플라임,80.26,1900,3425,4406716
006805,KOSPI,미래에셋증권우,79.02,10770,19280,55998576
128820,KOSPI,대성산업,78.52,4795,8560,278591100
298020,KOSPI,효성티앤씨,77.38,225500,400000,1861763
014910,KOSPI,성문전자,75.79,1074,1888,110934045
009830,KOSPI,한화솔루션,73.91,27600,48000,229035156
000720,KOSPI,현대건설,73.9,65900,114600,108420111
402340,KOSPI,SK스퀘어,72.45,308500,532000,25789359
244920,KOSPI,에이플러스에셋,70.11,8230,14000,11845892
010780,KOSPI,아이에스동서,70.02,17880,30400,6856239
00680K,KOSPI,미래에셋증권2우B,66.6,10150,16910,54549482
011500,KOSPI,한농화성,65.26,15430,25500,28428276
105840,KOSPI,우진,62.69,15490,25200,79346907
005930,KOSPI,삼성전자,62.28,103400,167800,1262545929
052670,KOSDAQ,제일바이오,18025.0,2080,377000,12714
065170,KOSDAQ,비엘팜텍,795.45,593,5310,130769640
043260,KOSDAQ,성호전자,763.4,2855,24650,142286161
038500,KOSDAQ,삼표시멘트,392.31,3055,15040,665722644
347700,KOSDAQ,스피어,361.63,8210,37900,160482609
290740,KOSDAQ,액트로,345.69,6260,27900,18753940
041920,KOSDAQ,메디아나,316.15,6440,26800,52953723
295310,KOSDAQ,에이치브이엠,313.57,22100,91400,31587194
099320,KOSDAQ,쎄트렉아이,281.65,47400,180900,16314886
056080,KOSDAQ,유진로봇,234.66,12550,42000,192526481
354320,KOSDAQ,알멕,228.26,20350,66800,11788256
321370,KOSDAQ,센서뷰,227.33,944,3090,260117145
032820,KOSDAQ,우리기술,223.3,3820,12350,772726916
066430,KOSDAQ,아이로보틱스,219.98,1036,3315,159249951
189300,KOSDAQ,인텔리안테크,212.78,42650,133400,13690651
012860,KOSDAQ,모베이스전자,201.93,1348,4070,361321651
319400,KOSDAQ,현대무벡스,200.7,9960,29950,668706033
451760,KOSDAQ,컨텍,190.38,7800,22650,70808485
003310,KOSDAQ,대주산업,188.02,1519,4375,538655687
417010,KOSDAQ,나노팀,187.82,4680,13470,95613501
002230,KOSDAQ,피에스텍,181.77,4060,11440,44432071
306040,KOSDAQ,에스제이그룹,175.75,3340,9210,48704608
489500,KOSDAQ,엘케이켐,175.66,18610,51300,19845053
348340,KOSDAQ,뉴로메카,170.99,30850,83600,57506678
090710,KOSDAQ,휴림로봇,166.98,5360,14310,1283463949
474170,KOSDAQ,루미르,164.34,7320,19350,145252849
274090,KOSDAQ,켄코아에어로스페이스,161.42,9850,25750,102092933
180400,KOSDAQ,DXVX,154.83,1864,4750,32286949
289930,KOSDAQ,웨이비스,152.2,7970,20100,9911343
242040,KOSDAQ,나무기술,145.4,1414,3470,152600147
