Ticker,Market,종목명,등락률,시가,종가,거래량
012200,KOSPI,계양전기,439.8,1382,7460,228673332
45226K,KOSPI,한화갤러리아우,389.16,2075,10150,51387122
084670,KOSPI,동양고속,300.68,14700,58900,42428769
004310,KOSPI,현대약품,229.54,3605,11880,267140098
001430,KOSPI,세아베스틸지주,201.98,27750,83800,29647075
012205,KOSPI,계양전기우,128.82,2845,6510,8873233
272210,KOSPI,한화시스템,122.22,46350,103000,169747226
006800,KOSPI,미래에셋증권,116.22,22200,48000,323520755
033240,KOSPI,자화전자,115.69,17780,38350,19466209
307950,KOSPI,현대오토에버,108.13,188100,391500,24630726
011690,KOSPI,와이투솔루션,107.06,3115,6450,105215404
452260,KOSPI,한화갤러리아,101.89,1060,2140,1105958655
457190,KOSPI,이수스페셜티케미컬,94.17,51500,100000,41556337
128820,KOSPI,대성산업,86.71,4515,8430,280169453
0120G0,KOSPI,삼양바이오팜,82.46,51300,93600,17383992
005380,KOSPI,현대차,78.78,261500,467500,121436952
006805,KOSPI,미래에셋증권우,78.23,10380,18500,54633554
009470,KOSPI,삼화전기,76.91,29450,52100,12621080
298020,KOSPI,효성티앤씨,74.21,221000,385000,1792560
014910,KOSPI,성문전자,74.14,1052,1832,106563212
402340,KOSPI,SK스퀘어,70.76,301000,514000,25302238
012610,KOSPI,경인양행,66.49,2820,4695,162413087
00680K,KOSPI,미래에셋증권2우B,66.12,9830,16330,52142673
007810,KOSPI,코리아써키트,65.88,31950,53000,34274686
000650,KOSPI,천일고속,63.83,182200,298500,7048955
011500,KOSPI,한농화성,63.67,15000,24550,27126537
000720,KOSPI,현대건설,63.5,65200,106600,107508537
000990,KOSPI,DB하이텍,61.95,63600,103000,22385074
047040,KOSPI,대우건설,58.62,3480,5520,223885055
042700,KOSPI,한미반도체,57.68,124300,196000,93118506
043260,KOSDAQ,성호전자,794.51,2370,21200,138902745
065170,KOSDAQ,비엘팜텍,740.34,595,5000,63937763
038500,KOSDAQ,삼표시멘트,542.16,3060,19650,594217690
041920,KOSDAQ,메디아나,419.02,5520,28650,52531728
290740,KOSDAQ,액트로,337.71,6020,26350,18248057
347700,KOSDAQ,스피어,324.43,8800,37350,154752457
295310,KOSDAQ,에이치브이엠,287.92,22350,86700,30488618
099320,KOSDAQ,쎄트렉아이,283.98,48700,187000,15570753
321370,KOSDAQ,센서뷰,273.96,960,3590,248755258
306040,KOSDAQ,에스제이그룹,270.31,3335,12350,46869787
319400,KOSDAQ,현대무벡스,259.38,8640,31050,689974369
002230,KOSDAQ,피에스텍,248.49,3980,13870,42166734
348340,KOSDAQ,뉴로메카,230.18,27500,90800,56536256
354320,KOSDAQ,알멕,229.06,19480,64100,11089616
318060,KOSDAQ,그래피,228.54,19480,64000,31925256
003310,KOSDAQ,대주산업,216.98,1508,4780,527257811
066430,KOSDAQ,아이로보틱스,206.41,1046,3205,148287557
100790,KOSDAQ,미래에셋벤처투자,199.51,8230,24650,209325942
489500,KOSDAQ,엘케이켐,187.42,17170,49350,16796747
012860,KOSDAQ,모베이스전자,185.5,1317,3760,341788417
417010,KOSDAQ,나노팀,177.99,4475,12440,81000632
090710,KOSDAQ,휴림로봇,174.3,5020,13770,1260001001
058610,KOSDAQ,에스피지,172.47,49950,136100,85886829
056080,KOSDAQ,유진로봇,172.18,11610,31600,175903608
451760,KOSDAQ,컨텍,168.39,7750,20800,63877433
076610,KOSDAQ,해성옵틱스,160.48,501,1305,236376811
474170,KOSDAQ,루미르,159.12,7510,19460,138039560
189300,KOSDAQ,인텔리안테크,150.76,39400,98800,11998042
274090,KOSDAQ,켄코아에어로스페이스,149.01,10100,25150,99463311
101170,KOSDAQ,우림피티에스,148.58,6360,15810,154670493
