Ticker,Market,종목명,등락률,시가,종가,거래량
012200,KOSPI,계양전기,441.03,1377,7450,227835906
45226K,KOSPI,한화갤러리아우,415.04,2095,10790,50902549
084670,KOSPI,동양고속,333.43,14120,61200,44976501
004310,KOSPI,현대약품,271.23,3615,13420,262495886
001430,KOSPI,세아베스틸지주,191.44,27450,80000,28901694
012205,KOSPI,계양전기우,144.33,2865,7000,8763604
272210,KOSPI,한화시스템,137.94,46650,111000,166997270
307950,KOSPI,현대오토에버,124.73,186000,418000,24508732
006800,KOSPI,미래에셋증권,121.11,22500,49750,317149952
000650,KOSPI,천일고속,118.97,140200,307000,7178213
011690,KOSPI,와이투솔루션,116.64,2885,6250,103455242
033240,KOSPI,자화전자,112.29,17570,37300,18932545
452260,KOSPI,한화갤러리아,110.03,1057,2220,1090070023
128820,KOSPI,대성산업,103.61,4710,9590,277562036
457190,KOSPI,이수스페셜티케미컬,103.19,51800,105250,40780742
0120G0,KOSPI,삼양바이오팜,98.04,51000,101000,20382948
006805,KOSPI,미래에셋증권우,90.01,10510,19970,53739355
005380,KOSPI,현대차,86.04,261500,486500,119469061
402340,KOSPI,SK스퀘어,83.85,291000,535000,24396930
007810,KOSPI,코리아써키트,81.79,30750,55900,33844189
014910,KOSPI,성문전자,80.9,1047,1894,105734995
009470,KOSPI,삼화전기,78.34,29550,52700,12435762
298020,KOSPI,효성티앤씨,76.59,220000,388500,1767559
011500,KOSPI,한농화성,74.85,14870,26000,26735049
012610,KOSPI,경인양행,72.37,2805,4835,161680299
00680K,KOSPI,미래에셋증권2우B,71.09,10030,17160,50602337
000990,KOSPI,DB하이텍,70.6,61900,105600,22117404
000050,KOSPI,경방,70.45,7040,12000,41735285
000720,KOSPI,현대건설,66.26,65500,108900,107827309
000660,KOSPI,SK하이닉스,62.21,524000,850000,190421091
065170,KOSDAQ,비엘팜텍,928.86,589,6060,30428507
043260,KOSDAQ,성호전자,900.0,2250,22500,138485526
038500,KOSDAQ,삼표시멘트,502.61,3060,18440,537512928
290740,KOSDAQ,액트로,371.17,6070,28600,17920729
041920,KOSDAQ,메디아나,331.25,5600,24150,50844435
319400,KOSDAQ,현대무벡스,293.71,8420,33150,688701889
099320,KOSDAQ,쎄트렉아이,258.65,50300,180400,15152559
318060,KOSDAQ,그래피,250.26,17530,61400,39604580
306040,KOSDAQ,에스제이그룹,249.17,3325,11610,46301471
321370,KOSDAQ,센서뷰,246.32,950,3290,239869001
002230,KOSDAQ,피에스텍,245.86,3990,13800,41434412
295310,KOSDAQ,에이치브이엠,242.67,22850,78300,29602033
003310,KOSDAQ,대주산업,237.52,1511,5100,523235054
348340,KOSDAQ,뉴로메카,236.67,27000,90900,54357967
058610,KOSDAQ,에스피지,229.98,44700,147500,88952043
347700,KOSDAQ,스피어,221.97,8650,27850,148557586
066430,KOSDAQ,아이로보틱스,206.27,1053,3225,135568916
012860,KOSDAQ,모베이스전자,203.37,1307,3965,339181746
354320,KOSDAQ,알멕,196.92,19500,57900,10721586
100790,KOSDAQ,미래에셋벤처투자,177.23,8170,22650,201500606
389680,KOSDAQ,유디엠텍,174.21,477,1308,234749326
090710,KOSDAQ,휴림로봇,167.47,4980,13320,1238276385
101170,KOSDAQ,우림피티에스,166.13,6230,16580,154266191
056080,KOSDAQ,유진로봇,165.99,11260,29950,173658120
232680,KOSDAQ,라온로보틱스,160.22,7290,18970,65580150
314130,KOSDAQ,지놈앤컴퍼니,160.19,3140,8170,73093565
059120,KOSDAQ,아진엑스텍,159.28,3637,9430,48492509
049630,KOSDAQ,재영솔루텍,158.06,1738,4485,742052869
380540,KOSDAQ,옵티코어,157.62,1510,3890,159490508
417010,KOSDAQ,나노팀,156.45,4340,11130,74563862
