Date,Open,High,Low,Close,Volume,Change
2024-03-18,600,625,591,611,354515,0.018333333333333313
2024-03-19,611,756,603,710,15868196,0.1620294599018004
2024-03-20,707,715,666,684,3362921,-0.036619718309859106
2024-03-21,681,783,669,725,13116149,0.059941520467836185
2024-03-22,739,769,705,725,3361243,0.0
2024-03-25,726,740,714,722,1221017,-0.004137931034482789
2024-03-26,703,703,661,680,1671255,-0.05817174515235457
2024-03-27,680,693,650,653,868200,-0.039705882352941146
2024-03-28,653,677,631,634,919317,-0.029096477794793296
2024-03-29,634,639,621,621,454414,-0.02050473186119872
2024-04-01,612,675,612,659,1417625,0.06119162640901776
2024-04-02,649,664,620,625,849834,-0.0515933232169955
2024-04-03,621,636,592,616,754370,-0.014399999999999968
2024-04-04,616,643,610,625,650134,0.014610389610389518
2024-04-05,624,635,616,632,630023,0.011200000000000099
2024-04-08,634,669,621,660,901758,0.044303797468354444
2024-04-09,680,715,643,644,1446609,-0.024242424242424288
2024-04-11,639,721,633,697,4042240,0.08229813664596275
2024-04-12,690,705,666,670,1075660,-0.038737446197991354
2024-04-15,676,678,654,670,551485,0.0
2024-04-16,670,670,628,640,547536,-0.04477611940298509
2024-04-17,640,662,620,635,641946,-0.0078125
2024-04-18,635,651,621,651,307840,0.025196850393700787
2024-04-19,650,652,610,613,485777,-0.05837173579109067
2024-04-22,614,634,613,614,234626,0.0016313213703098572
2024-04-23,611,655,595,623,1157877,0.014657980456026065
2024-04-24,625,631,616,629,346024,0.009630818619582593
2024-04-25,632,632,600,603,480358,-0.04133545310015896
2024-04-26,607,618,599,599,242569,-0.0066334991708125735
2024-04-29,604,618,600,615,305933,0.026711185308847973
2024-04-30,620,642,614,630,475763,0.024390243902439046
2024-05-02,624,637,624,633,313108,0.004761904761904745
2024-05-03,641,643,630,636,125013,0.004739336492890933
2024-05-07,636,643,617,625,285091,-0.01729559748427678
2024-05-08,627,633,617,623,352604,-0.0031999999999999806
2024-05-09,643,643,613,626,287257,0.0048154093097914075
2024-05-10,624,647,623,638,539887,0.019169329073482455
2024-05-13,638,652,624,627,380647,-0.017241379310344862
2024-05-14,625,628,615,626,307693,-0.0015948963317384823
2024-05-16,626,633,621,626,226954,0.0
2024-05-17,625,630,600,606,500925,-0.03194888178913735
2024-05-20,604,609,590,595,356335,-0.018151815181518205
2024-05-21,590,610,588,601,203225,0.010084033613445342
2024-05-22,613,613,591,593,201197,-0.01331114808652245
2024-05-23,608,608,584,592,224656,-0.001686340640809414
