Date,Open,High,Low,Close,Volume,Change
2024-03-18,12240,12310,12120,12130,135702,-0.008986928104575131
2024-03-19,12110,12240,12050,12060,251977,-0.00577081615828523
2024-03-20,12130,12130,11980,12020,227099,-0.0033167495854062867
2024-03-21,12040,12150,12000,12050,132373,0.0024958402662229595
2024-03-22,12020,12390,12010,12260,199719,0.01742738589211612
2024-03-25,12270,12670,12200,12620,358083,0.029363784665579207
2024-03-26,12680,12810,12540,12790,242466,0.01347068145800323
2024-03-27,12760,13140,12760,12960,273140,0.013291634089132032
2024-03-28,13010,13110,12820,12880,202845,-0.006172839506172867
2024-03-29,12900,12970,12740,12860,183482,-0.0015527950310558758
2024-04-01,12900,13750,12900,13630,828359,0.05987558320373254
2024-04-02,13500,13510,13240,13400,364734,-0.01687454145267797
2024-04-03,13390,13950,13260,13860,620958,0.0343283582089553
2024-04-04,13950,13950,13550,13750,281112,-0.007936507936507908
2024-04-05,13530,14090,13530,13890,299187,0.010181818181818292
2024-04-08,13830,13910,13550,13660,264558,-0.016558675305975545
2024-04-09,13660,13870,13560,13690,160855,0.002196193265007418
2024-04-11,13550,13790,13330,13410,245935,-0.020452885317750136
2024-04-12,13420,13490,13040,13280,231769,-0.009694258016405666
2024-04-15,13250,13260,12960,13060,175779,-0.016566265060240948
2024-04-16,12940,13060,12740,12850,192243,-0.01607963246554367
2024-04-17,12990,13550,12880,13330,319521,0.03735408560311293
2024-04-18,13470,13670,13390,13520,154963,0.014253563390847601
2024-04-19,13450,14200,13360,13790,773494,0.019970414201183395
2024-04-22,13910,13930,13670,13840,274123,0.0036258158085569203
2024-04-23,13850,14120,13650,13820,247663,-0.0014450867052022698
2024-04-24,13980,13980,13670,13730,145489,-0.0065123010130245795
2024-04-25,13650,13820,13540,13560,137899,-0.012381646030589999
2024-04-26,13590,13960,13480,13870,211139,0.02286135693215341
2024-04-29,13990,14350,13940,14260,274741,0.02811824080749825
2024-04-30,14260,14380,14130,14240,150821,-0.0014025245441795509
2024-05-02,14140,14310,13950,14070,268429,-0.011938202247190999
