Date,Open,High,Low,Close,Volume,Change
2025-12-05,4915,5700,3320,3840,60873014,
2025-12-08,3660,4180,2690,2690,5400739,-0.29947916666666663
2025-12-09,2525,2555,2045,2045,2327953,-0.2397769516728625
2025-12-10,2020,2035,2005,2010,702897,-0.017114914425427896
2025-12-11,2015,2040,2010,2025,356959,0.00746268656716409
2025-12-12,2010,2035,2010,2015,320056,-0.004938271604938316
2025-12-15,2010,2015,2000,2005,285416,-0.00496277915632759
2025-12-16,2005,2010,1999,1999,299460,-0.0029925187032419087
2025-12-17,1999,2005,1996,2000,201765,0.0005002501250626068
2025-12-18,1999,2005,1995,2000,134826,0.0
2025-12-19,2000,2015,1998,2005,89275,0.0024999999999999467
2025-12-22,2005,2010,1999,2000,413897,-0.0024937655860348684
2025-12-23,2000,2005,1996,1996,345334,-0.0020000000000000018
2025-12-24,1996,2005,1995,1999,134367,0.0015030060120240218
2025-12-26,1997,2000,1997,1999,113791,0.0
2025-12-29,1999,2000,1998,1998,70446,-0.0005002501250624958
2025-12-30,1998,2005,1997,1997,64165,-0.0005005005005005447
2026-01-02,1999,2005,1997,1999,84646,0.0010015022533800266
2026-01-05,2000,2025,2000,2000,88513,0.0005002501250626068
2026-01-06,2005,2020,1999,2000,216072,0.0
2026-01-07,2010,2020,2000,2010,77780,0.004999999999999893
2026-01-08,2010,2015,2000,2005,94783,-0.0024875621890547706
2026-01-09,2005,2005,2000,2000,25439,-0.0024937655860348684
2026-01-12,2000,2010,1997,2000,98047,0.0
2026-01-13,2005,2005,1998,1998,46416,-0.0010000000000000009
2026-01-14,2000,2000,1997,1999,56569,0.0005005005005005447
2026-01-15,2000,2005,1998,2000,36473,0.0005002501250626068
2026-01-16,2000,2005,1998,2000,44405,0.0
2026-01-19,2000,2005,1998,1998,61941,-0.0010000000000000009
2026-01-20,1998,2000,1998,1998,89934,0.0
2026-01-21,1998,1999,1996,1998,75090,0.0
2026-01-22,1998,2000,1996,1999,100728,0.0005005005005005447
2026-01-23,1998,2010,1998,2005,55072,0.0030015007503751967
2026-01-26,2000,2020,2000,2010,70125,0.0024937655860348684
2026-01-27,2010,2010,2000,2000,29907,-0.00497512437810943
2026-01-28,2005,2015,2000,2010,19237,0.004999999999999893
2026-01-29,2005,2010,2000,2005,17553,-0.0024875621890547706
2026-01-30,2005,2040,2005,2015,129019,0.004987531172069737
2026-02-02,2015,2050,2015,2040,85453,0.012406947890818865
2026-02-03,2040,2065,2015,2050,45340,0.004901960784313708
2026-02-04,2055,2070,2045,2060,39262,0.004878048780487809
2026-02-05,2050,2070,2050,2060,13391,0.0
2026-02-06,2060,2085,2055,2080,22944,0.009708737864077666
2026-02-09,2070,2140,2055,2095,46403,0.007211538461538547
2026-02-10,2085,2085,2070,2085,5232,-0.004773269689737458
2026-02-11,2075,2095,2075,2090,35450,0.0023980815347721673
2026-02-12,2090,2090,2080,2090,4065,0.0
2026-02-13,2075,2090,2075,2075,4142,-0.0071770334928229484
2026-02-19,2085,2090,2075,2085,23579,0.004819277108433662
2026-02-20,2085,2095,2080,2095,30884,0.004796163069544335
2026-02-23,2085,2100,2080,2085,12092,-0.004773269689737458
2026-02-24,2065,2085,2065,2075,5986,-0.004796163069544335
2026-02-25,2075,2090,2070,2090,22189,0.0072289156626506035
2026-02-26,2090,2090,2060,2070,13842,-0.009569377990430672
2026-02-27,2070,2075,2050,2060,25211,-0.004830917874396157
2026-03-03,2060,2070,2055,2060,37658,0.0
2026-03-04,2055,2055,2015,2030,61455,-0.014563106796116498
2026-03-05,2050,2055,2025,2040,49273,0.0049261083743843415
2026-03-06,2030,2055,2030,2050,16815,0.004901960784313708
2026-03-09,2030,2050,2020,2035,34609,-0.007317073170731714
2026-03-10,2025,2050,2025,2045,17114,0.004914004914004844
2026-03-11,2045,2060,2035,2060,10678,0.007334963325183352
2026-03-12,2060,2075,2035,2075,27777,0.00728155339805836
2026-03-13,2075,2090,2060,2080,34546,0.002409638554216942
2026-03-16,2055,2080,2055,2070,2306,-0.004807692307692291
2026-03-17,2055,2065,2040,2065,20883,-0.0024154589371980784
2026-03-18,2045,2085,2045,2085,12358,0.009685230024213176
