Date,Open,High,Low,Close,Volume,Change
2024-03-18,33400,33400,32850,32850,101725,-0.010542168674698815
2024-03-19,32650,32950,32300,32300,143474,-0.016742770167427756
2024-03-20,32450,32700,32150,32450,144503,0.004643962848297267
2024-03-21,32900,33300,32800,32950,338244,0.015408320493066174
2024-03-22,33000,33450,32800,32900,162585,-0.0015174506828528056
2024-03-25,33000,33300,32850,33000,118659,0.003039513677811634
2024-03-26,33100,34050,33100,33700,288396,0.021212121212121238
2024-03-27,33900,34700,33750,34300,322768,0.017804154302670572
2024-03-28,34350,34450,33900,34100,155295,-0.005830903790087438
2024-03-29,34050,34050,33200,33300,181739,-0.02346041055718473
2024-04-01,33500,34050,33300,34000,136880,0.021021021021021102
2024-04-02,33700,34000,33250,33350,151072,-0.019117647058823573
2024-04-03,33000,33350,32600,32800,187510,-0.016491754122938573
2024-04-04,33050,33250,32700,32950,155855,0.004573170731707377
2024-04-05,32500,33300,32300,33300,159221,0.01062215477996964
2024-04-08,33200,33650,33100,33400,194270,0.0030030030030030463
2024-04-09,33600,33750,33250,33250,99541,-0.004491017964071808
2024-04-11,32600,33750,32600,33450,192200,0.006015037593984918
2024-04-12,33150,33700,32900,32900,150017,-0.01644245142002987
2024-04-15,32600,33050,31900,33050,226817,0.004559270516717229
2024-04-16,32550,32850,32050,32700,136111,-0.010590015128593033
2024-04-17,32500,32800,32150,32150,141435,-0.016819571865443472
2024-04-18,32150,32400,31450,32350,206025,0.0062208398133747345
2024-04-19,31950,32050,31350,31650,148580,-0.021638330757341562
2024-04-22,31950,33000,31950,32750,159438,0.034755134281200695
2024-04-23,32500,32850,32250,32850,112060,0.003053435114503733
2024-04-24,33000,33150,32500,32800,120809,-0.0015220700152207556
2024-04-25,32900,33450,32650,32650,251239,-0.004573170731707266
2024-04-26,32800,33000,32400,32600,113157,-0.0015313935681470214
2024-04-29,33550,38350,33500,38350,3340279,0.1763803680981595
2024-04-30,39050,39950,38100,39400,1778533,0.027379400260756137
2024-05-02,39400,40000,38550,39500,667292,0.002538071065989911
2024-05-03,39150,40500,38800,39050,623057,-0.011392405063291089
2024-05-07,39250,39400,38150,39000,407373,-0.001280409731113985
2024-05-08,38950,40050,38650,39800,531483,0.02051282051282044
2024-05-09,39700,39800,38600,38700,329002,-0.027638190954773822
2024-05-10,39000,39200,37900,38250,261355,-0.011627906976744207
2024-05-13,38600,38700,38000,38350,212603,0.002614379084967311
2024-05-14,38350,38700,37600,37600,288164,-0.019556714471968717
2024-05-16,38100,38200,37250,37400,229277,-0.005319148936170248
2024-05-17,37400,37700,36250,36500,256700,-0.024064171122994638
2024-05-20,36900,38350,36900,38000,375281,0.041095890410958846
2024-05-21,37650,38250,37150,37750,194407,-0.006578947368421018
2024-05-22,38250,39100,37350,38950,367144,0.03178807947019857
2024-05-23,38800,39200,38050,39050,339370,0.0025673940949935137
2024-05-24,38500,38550,37650,37800,227208,-0.03201024327784896
2024-05-27,38150,43950,37650,43350,2770620,0.14682539682539675
2024-05-28,43050,43550,42250,43150,567874,-0.0046136101499423265
2024-05-29,42600,43100,41400,42050,398499,-0.02549246813441486
2024-05-30,41750,43750,41200,43400,787681,0.03210463733650415
2024-05-31,43850,45400,43000,43400,1048061,0.0
2024-06-03,43350,45750,43350,43850,576417,0.010368663594469973
2024-06-04,44150,45300,43100,44700,487562,0.019384264538198304
2024-06-05,44900,50000,44800,49600,2065918,0.10961968680089496
2024-06-07,49000,49500,47550,47550,730851,-0.04133064516129037
2024-06-10,47150,48100,46200,46750,445245,-0.01682439537329128
2024-06-11,47000,47800,45550,47100,515277,0.007486631016042855
2024-06-12,47300,48900,47100,47500,461015,0.00849256900212314
2024-06-13,47650,47800,43700,44000,1377307,-0.0736842105263158
2024-06-14,44200,44600,42450,43050,717693,-0.021590909090909105
2024-06-17,43050,45350,43050,45350,815955,0.05342624854819977
2024-06-18,46200,46500,44350,44350,709937,-0.022050716648291058
2024-06-19,44900,46350,44350,45250,501511,0.02029312288613294
2024-06-20,45350,46600,44800,45600,389627,0.007734806629834168
2024-06-21,45700,45750,42300,42800,856217,-0.06140350877192979
2024-06-24,42700,44100,42050,43200,388584,0.009345794392523255
2024-06-25,43800,45400,43750,44700,550513,0.03472222222222232
2024-06-26,46400,46400,45100,45600,504714,0.020134228187919545
2024-06-27,45300,45500,44100,44100,334825,-0.03289473684210531
2024-06-28,44200,45800,43900,43900,320794,-0.0045351473922902175
2024-07-01,43900,45300,43350,44700,259983,0.018223234624145768
2024-07-02,44200,44600,42350,43350,445821,-0.030201342281879207
2024-07-03,43750,45400,42950,43400,430873,0.0011534025374855261
2024-07-04,43950,44150,43050,44100,198924,0.016129032258064502
2024-07-05,44300,44700,42450,42500,428587,-0.03628117913832196
