Date,Open,High,Low,Close,Volume,Change
2024-03-18,11860,12050,11800,11950,25707,0.00929054054054057
2024-03-19,11950,12030,11710,11710,27040,-0.020083682008368187
2024-03-20,11800,11850,11690,11700,39955,-0.0008539709649871829
2024-03-21,11770,11790,11700,11740,19405,0.0034188034188034067
2024-03-22,11740,11790,11640,11690,21687,-0.004258943781942026
2024-03-25,11750,11760,11650,11680,12778,-0.0008554319931565191
2024-03-26,11770,11770,11440,11470,74789,-0.017979452054794565
2024-03-27,11520,11520,11200,11220,47059,-0.021795989537925053
2024-03-28,11360,11400,11200,11250,16517,0.002673796791443861
2024-03-29,11280,11550,11240,11470,18639,0.019555555555555548
2024-04-01,11470,11720,11440,11640,31044,0.01482127288578905
2024-04-02,11690,11690,11490,11560,20383,-0.0068728522336769515
2024-04-03,11870,14400,11730,13610,2433304,0.1773356401384083
2024-04-04,13110,13350,12750,13240,372782,-0.027185892725936855
2024-04-05,12990,13090,12370,12530,215013,-0.0536253776435045
2024-04-08,12530,13190,12380,12930,159986,0.0319233838786912
2024-04-09,12920,13030,12520,12900,89162,-0.002320185614849146
2024-04-11,12800,13100,12580,12930,46246,0.0023255813953488857
2024-04-12,12950,13290,12780,13140,81107,0.016241299303944245
2024-04-15,13040,13520,12800,13460,103923,0.0243531202435312
2024-04-16,13400,13480,12900,13330,121189,-0.009658246656760738
2024-04-17,13330,13500,13190,13500,108035,0.01275318829707417
2024-04-18,13500,13600,13090,13510,175874,0.0007407407407407085
2024-04-19,13540,14150,13390,13810,201791,0.022205773501110304
2024-04-22,14000,14050,13710,13740,73894,-0.005068790731354134
2024-04-23,13670,13920,13550,13630,62021,-0.008005822416302766
2024-04-24,13620,13820,13360,13650,71393,0.0014673514306675628
2024-04-25,13560,13640,13400,13410,44979,-0.01758241758241763
2024-04-26,13520,13580,13350,13400,34108,-0.0007457121551081025
2024-04-29,13430,13820,13340,13350,55296,-0.003731343283582045
