Date,Open,High,Low,Close,Volume,Change
2024-03-18,19740,19740,19350,19580,13162,-0.008105369807497431
2024-03-19,19580,19580,18900,19100,17148,-0.024514811031664974
2024-03-20,18910,19100,18600,19000,14690,-0.005235602094240788
2024-03-21,19010,19550,18900,19180,33250,0.0094736842105263
2024-03-22,19180,19550,19120,19200,28593,0.0010427528675704956
2024-03-25,19200,19460,18920,19360,21290,0.008333333333333304
2024-03-26,19900,19900,18550,18850,37700,-0.026342975206611552
2024-03-27,18850,19630,18770,19380,29526,0.02811671087533152
2024-03-28,19330,19380,18960,19160,15211,-0.011351909184726505
2024-03-29,19490,19490,18700,19420,30053,0.013569937369519725
2024-04-01,19420,19420,18980,19230,19714,-0.009783728115345003
2024-04-02,19270,19280,18600,18710,25940,-0.027041081643265685
2024-04-03,18730,21250,18660,21200,152197,0.13308391234633876
2024-04-04,21400,21400,19820,20750,48883,-0.021226415094339646
2024-04-05,20200,21700,20150,20750,35073,0.0
2024-04-08,20750,21350,19810,20100,35348,-0.031325301204819245
2024-04-09,20100,20950,19850,20600,28046,0.02487562189054726
2024-04-11,20600,20900,20050,20400,17142,-0.009708737864077666
2024-04-12,20450,20750,20000,20400,14931,0.0
2024-04-15,20150,20200,19500,19980,23966,-0.020588235294117685
2024-04-16,19630,19700,19100,19450,27333,-0.02652652652652654
2024-04-17,19450,19860,19300,19670,13001,0.01131105398457577
2024-04-18,19400,19940,19400,19680,9451,0.0005083884087442314
2024-04-19,19700,19700,18900,19200,32223,-0.024390243902439046
2024-04-22,19000,19250,18930,19220,11917,0.0010416666666666075
2024-04-23,19490,19490,18720,19100,13445,-0.00624349635796051
2024-04-24,20450,20750,19810,20000,94939,0.04712041884816753
2024-04-25,19700,20350,19520,19530,28071,-0.023499999999999965
2024-04-26,19910,19910,19180,19530,17923,0.0
2024-04-29,19270,19760,19260,19650,8911,0.006144393241167334
2024-04-30,19650,19930,19490,19730,9145,0.004071246819338459
2024-05-02,19730,19810,19210,19320,7335,-0.02078053725291429
2024-05-03,19330,19600,19070,19220,8223,-0.005175983436852993
2024-05-07,19650,19690,19050,19310,9741,0.004682622268470382
2024-05-08,19510,19510,19030,19140,8188,-0.008803728638011377
2024-05-09,19140,19270,18500,19000,24507,-0.007314524555903867
2024-05-10,19250,19250,18570,18890,15790,-0.0057894736842105665
2024-05-13,18880,18880,18200,18380,13692,-0.026998411858126015
2024-05-14,18380,18490,18050,18440,8658,0.0032644178454841466
2024-05-16,18510,18960,18230,18480,13996,0.002169197396963085
2024-05-17,18480,18900,18090,18250,10444,-0.012445887445887482
2024-05-20,18230,18250,17920,18040,11320,-0.011506849315068512
2024-05-21,18260,18260,17740,17740,14549,-0.016629711751662946
2024-05-22,17740,18200,17620,17800,6148,0.0033821871476888976
2024-05-23,18380,18380,17810,18170,13560,0.020786516853932513
2024-05-24,18170,18370,17820,17850,4592,-0.017611447440836536
2024-05-27,17700,18190,16260,17320,38307,-0.029691876750700286
2024-05-28,17320,17320,17000,17110,11449,-0.012124711316397252
2024-05-29,17300,17510,17000,17020,8021,-0.005260081823495022
2024-05-30,16940,17270,16500,17270,13045,0.014688601645123311
2024-05-31,17510,17510,16610,16670,12656,-0.03474232773595831
2024-06-03,16670,16870,16010,16830,15162,0.009598080383923291
2024-06-04,16980,16980,16250,16790,7460,-0.002376708259061222
2024-06-05,17350,17350,16190,16470,14007,-0.019058963668850515
2024-06-07,16410,16670,16300,16450,5787,-0.0012143290831815312
2024-06-10,16450,16940,16250,16830,7219,0.02310030395136775
2024-06-11,17120,17540,16670,17480,17808,0.03862150920974461
2024-06-12,17430,17880,17020,17020,11538,-0.02631578947368418
2024-06-13,17430,17430,16720,17060,7111,0.00235017626321965
2024-06-14,17200,17200,16740,16820,6251,-0.014067995310668269
2024-06-17,16910,16920,16570,16620,4625,-0.01189060642092743
2024-06-18,16480,16620,16110,16110,12191,-0.03068592057761732
2024-06-19,16150,17080,16100,17080,25605,0.06021104903786467
2024-06-20,17200,17680,16960,17320,15915,0.014051522248243575
2024-06-21,17320,17440,16860,17320,14270,0.0
2024-06-24,17870,17870,16890,17150,9338,-0.009815242494226273
