Date,Open,High,Low,Close,Volume,Change
2026-03-16,68100,70000,49800,50600,22375051,
2026-03-17,49900,56300,45250,45700,4309180,-0.09683794466403162
2026-03-18,47300,49650,43350,46450,3233648,0.01641137855579866
