Date,Open,High,Low,Close,Volume,Change
2024-03-18,3545,3545,3470,3485,44850,-0.004285714285714337
2024-03-19,3475,3500,3460,3475,38213,-0.0028694404591105283
2024-03-20,3475,3500,3430,3475,79176,0.0
2024-03-21,3500,3580,3500,3550,63151,0.021582733812949728
2024-03-22,3550,3575,3525,3560,36884,0.0028169014084507005
2024-03-25,3550,3570,3535,3535,63207,-0.0070224719101124045
2024-03-26,3515,3570,3515,3570,36397,0.00990099009900991
2024-03-27,3565,3590,3550,3570,25232,0.0
2024-03-28,3570,3590,3535,3580,38301,0.0028011204481792618
2024-03-29,3600,3625,3580,3625,61313,0.012569832402234526
2024-04-01,3645,3690,3625,3685,69707,0.016551724137930934
2024-04-02,3700,3700,3590,3635,63746,-0.013568521031207648
2024-04-03,3635,3635,3590,3610,27805,-0.00687757909215958
2024-04-04,3650,3650,3600,3615,32697,0.0013850415512466352
2024-04-05,3570,3620,3570,3590,56667,-0.006915629322268302
2024-04-08,3570,3595,3515,3525,37892,-0.01810584958217265
2024-04-09,3525,3570,3515,3530,37011,0.0014184397163119478
2024-04-11,3495,3530,3475,3525,26645,-0.0014164305949008194
2024-04-12,3485,3520,3480,3495,50682,-0.008510638297872353
2024-04-15,3420,3495,3420,3455,37855,-0.011444921316165924
2024-04-16,3420,3430,3350,3360,80267,-0.02749638205499272
2024-04-17,3355,3430,3340,3370,22372,0.0029761904761904656
2024-04-18,3455,3455,3365,3380,42037,0.0029673590504450953
2024-04-19,3380,3395,3295,3310,60890,-0.020710059171597628
2024-04-22,3310,3345,3290,3305,36224,-0.0015105740181269312
2024-04-23,3340,3410,3285,3320,28017,0.004538577912254205
2024-04-24,3325,3420,3320,3390,24562,0.02108433734939763
2024-04-25,3400,3450,3365,3425,16635,0.010324483775811188
2024-04-26,3425,3440,3410,3425,18656,0.0
2024-04-29,3440,3450,3400,3405,37049,-0.005839416058394109
2024-04-30,3400,3450,3400,3440,23086,0.010279001468428861
2024-05-02,3410,3440,3395,3420,32043,-0.005813953488372103
2024-05-03,3420,3445,3395,3435,24074,0.004385964912280604
2024-05-07,3440,3465,3425,3450,29217,0.004366812227074135
2024-05-08,3425,3495,3425,3450,16653,0.0
2024-05-09,3455,3490,3430,3465,20420,0.004347826086956497
2024-05-10,3475,3500,3440,3470,24396,0.0014430014430013571
2024-05-13,3470,3475,3430,3445,27068,-0.007204610951008661
2024-05-14,3470,3475,3415,3460,23210,0.004354136429608024
2024-05-16,3460,3590,3420,3545,147650,0.024566473988439252
2024-05-17,3570,3570,3500,3545,57110,0.0
2024-05-20,3550,3550,3495,3545,48966,0.0
2024-05-21,3540,3545,3520,3530,42901,-0.004231311706629048
2024-05-22,3530,3530,3460,3475,67230,-0.015580736543909346
2024-05-23,3500,3520,3460,3500,23870,0.007194244604316502
2024-05-24,3535,3540,3445,3455,23570,-0.0128571428571429
2024-05-27,3455,3475,3415,3465,41935,0.0028943560057888007
2024-05-28,3500,3500,3460,3475,11718,0.0028860028860029363
2024-05-29,3480,3480,3405,3420,50200,-0.015827338129496438
2024-05-30,3450,3450,3350,3375,73517,-0.013157894736842146
2024-05-31,3400,3400,3340,3370,33175,-0.001481481481481528
2024-06-03,3370,3440,3370,3405,24182,0.010385756676557945
2024-06-04,3380,3450,3380,3425,24507,0.005873715124816492
2024-06-05,3450,3455,3390,3405,29088,-0.005839416058394109
2024-06-07,3440,3440,3385,3410,71896,0.001468428781204123
2024-06-10,3400,3440,3380,3425,31939,0.004398826979472137
2024-06-11,3425,3510,3425,3485,45779,0.01751824817518255
2024-06-12,3475,3525,3470,3500,28250,0.004304160688665792
2024-06-13,3520,3530,3440,3465,34460,-0.010000000000000009
2024-06-14,3465,3490,3425,3450,27165,-0.0043290043290042934
2024-06-17,3435,3500,3435,3450,16729,0.0
