Date,Open,High,Low,Close,Volume,Change
2024-03-18,9350,9430,9340,9410,38776,0.0064171122994651775
2024-03-19,9420,9440,9320,9370,21294,-0.004250797024442088
2024-03-20,9440,9590,9370,9510,79678,0.014941302027748238
2024-03-21,9580,9600,9480,9540,28475,0.003154574132492094
2024-03-22,9520,9580,9490,9540,26108,0.0
2024-03-25,9540,9610,9540,9560,65322,0.002096436058700135
2024-03-26,9640,9640,9540,9540,46084,-0.0020920502092049986
2024-03-27,9570,9590,9450,9460,52939,-0.008385744234800874
2024-03-28,9530,9580,9460,9500,51552,0.0042283298097252064
2024-03-29,9510,9510,9400,9400,39966,-0.010526315789473717
2024-04-01,9400,9510,9400,9500,42835,0.010638297872340496
2024-04-02,9500,9510,9340,9350,77100,-0.015789473684210575
2024-04-03,9350,9360,9210,9240,64634,-0.0117647058823529
2024-04-04,9320,9330,9140,9180,65747,-0.00649350649350644
2024-04-05,9120,9190,9040,9040,60060,-0.015250544662309351
2024-04-08,9040,9100,8930,8930,71101,-0.012168141592920345
2024-04-09,9040,9040,8930,8940,54750,0.0011198208286673506
2024-04-11,8930,8950,8750,8820,49707,-0.01342281879194629
2024-04-12,8900,8900,8800,8800,36895,-0.0022675736961451642
2024-04-15,8700,8750,8570,8590,67692,-0.02386363636363631
2024-04-16,8580,8580,8340,8400,82191,-0.02211874272409775
2024-04-17,8400,8490,8360,8360,40378,-0.004761904761904745
2024-04-18,8400,8620,8390,8540,31784,0.021531100478468845
2024-04-19,8570,8600,8340,8470,39229,-0.008196721311475419
2024-04-22,8500,8730,8500,8700,45578,0.027154663518299982
2024-04-23,8740,8750,8610,8640,47912,-0.006896551724137945
2024-04-24,8690,8730,8640,8710,18221,0.00810185185185186
2024-04-25,8740,8770,8660,8740,17158,0.003444316877152742
2024-04-26,8800,8810,8650,8700,29465,-0.004576659038901587
2024-04-29,8710,8850,8670,8750,24527,0.005747126436781658
2024-04-30,8750,8800,8710,8720,17478,-0.0034285714285714475
2024-05-02,8750,8780,8670,8700,29311,-0.002293577981651418
2024-05-03,8770,8800,8660,8680,26024,-0.0022988505747126853
2024-05-07,8710,8850,8630,8710,38599,0.003456221198156584
2024-05-08,8710,8790,8710,8770,39157,0.006888633754305484
2024-05-09,8780,8830,8660,8670,36197,-0.011402508551881407
2024-05-10,8670,8740,8600,8640,38724,-0.0034602076124568004
2024-05-13,8700,8700,8550,8560,44814,-0.0092592592592593
2024-05-14,8560,8660,8560,8620,28382,0.007009345794392496
2024-05-16,8640,8710,8610,8680,28240,0.006960556844547661
2024-05-17,8690,8690,8570,8630,27170,-0.005760368663594417
2024-05-20,8640,8700,8550,8580,39224,-0.005793742757821518
2024-05-21,8610,8620,8500,8510,29469,-0.00815850815850816
2024-05-22,8510,8560,8420,8440,44203,-0.008225616921269108
2024-05-23,8490,8500,8410,8410,37002,-0.0035545023696682554
2024-05-24,8430,8450,8380,8390,35484,-0.0023781212841854638
2024-05-27,8400,8430,8330,8400,33001,0.0011918951132301459
2024-05-28,8420,8430,8350,8400,24302,0.0
2024-05-29,8400,8410,8320,8330,48364,-0.008333333333333304
2024-05-30,8400,8400,8240,8250,44330,-0.009603841536614643
2024-05-31,8260,8330,8240,8280,15690,0.0036363636363636598
2024-06-03,8280,8390,8200,8370,35614,0.010869565217391353
2024-06-04,8400,8400,8310,8340,21581,-0.0035842293906810374
2024-06-05,8390,8430,8240,8300,52875,-0.004796163069544335
2024-06-07,8300,8350,8070,8140,180214,-0.01927710843373498
2024-06-10,8080,8150,8070,8100,103598,-0.004914004914004955
2024-06-11,8150,8170,8030,8080,101717,-0.0024691358024691024
2024-06-12,8080,8150,8080,8140,54413,0.007425742574257432
2024-06-13,8150,8190,8100,8180,68414,0.004914004914004844
2024-06-14,8260,9200,8070,8300,1825000,0.014669926650366705
2024-06-17,8360,8390,8170,8230,172898,-0.008433734939759074
2024-06-18,8230,8270,8100,8140,129372,-0.010935601458080146
2024-06-19,8150,8180,8060,8060,102663,-0.009828009828009798
2024-06-20,8110,8210,8060,8140,104592,0.00992555831265518
2024-06-21,8200,8210,8120,8160,45785,0.002457002457002533
2024-06-24,8160,8170,8070,8080,39827,-0.009803921568627416
2024-06-25,8120,8120,8030,8070,70258,-0.0012376237623762387
2024-06-26,8100,8100,8050,8080,31538,0.0012391573729864103
2024-06-27,8110,8120,8030,8040,66313,-0.004950495049504955
2024-06-28,8100,8100,8020,8060,29904,0.0024875621890547706
2024-07-01,8100,8190,8040,8150,68343,0.011166253101736912
2024-07-02,8180,8180,8040,8040,54455,-0.013496932515337456
2024-07-03,8030,8030,7930,7930,125063,-0.013681592039801016
2024-07-04,7970,8040,7910,7920,76750,-0.0012610340479193294
2024-07-05,7920,8000,7920,7990,44204,0.008838383838383868
2024-07-08,7980,8030,7950,8000,35851,0.0012515644555695093
2024-07-09,8050,8090,8010,8060,33257,0.007500000000000062
2024-07-10,8060,8120,8030,8110,75634,0.006203473945409321
2024-07-11,8130,8160,8050,8140,81907,0.0036991368680641123
2024-07-12,8150,8340,8100,8340,121596,0.024570024570024662
2024-07-15,8330,8330,8200,8260,98528,-0.00959232613908878
2024-07-16,8270,8310,8100,8130,92407,-0.0157384987893463
2024-07-17,8130,8300,8130,8170,144650,0.004920049200491938
2024-07-18,8130,8270,8000,8110,86455,-0.007343941248470043
2024-07-19,8060,8160,8000,8040,59558,-0.008631319358816225
2024-07-22,8040,8060,7920,7970,87213,-0.008706467661691586
2024-07-23,7990,8050,7980,8020,33325,0.006273525721455453
2024-07-24,8050,8390,8050,8280,214979,0.032418952618453956
2024-07-25,8260,8270,8120,8160,68763,-0.01449275362318836
2024-07-26,8160,8330,8140,8320,96761,0.019607843137254832
2024-07-29,8330,8500,8280,8360,104769,0.004807692307692291
2024-07-30,8360,8420,8200,8280,127798,-0.009569377990430672
2024-07-31,8300,8410,8200,8340,98577,0.007246376811594235
2024-08-01,8370,8490,8350,8380,108804,0.004796163069544335
2024-08-02,8300,8340,8030,8130,145193,-0.029832935560859197
2024-08-05,8050,8080,7170,7290,284653,-0.10332103321033215
2024-08-06,7290,7810,7280,7740,118653,0.06172839506172845
2024-08-07,7740,8090,7740,8040,92489,0.03875968992248069
2024-08-08,7980,8400,7980,8200,220915,0.01990049751243772
2024-08-09,8300,8370,8180,8220,90354,0.0024390243902439046
2024-08-12,8240,8420,8240,8360,85453,0.017031630170316392
2024-08-13,8400,8400,8110,8240,76329,-0.014354066985645897
2024-08-14,8280,8330,8180,8280,51549,0.004854368932038833
2024-08-16,8280,8340,8260,8300,83974,0.0024154589371980784
2024-08-19,8320,8560,8320,8520,187325,0.026506024096385472
2024-08-20,8540,8540,8380,8420,82837,-0.011737089201877882
2024-08-21,8450,8460,8300,8310,80403,-0.013064133016627122
2024-08-22,8300,8370,8170,8200,62923,-0.013237063778580027
2024-08-23,8200,8200,8060,8130,49816,-0.008536585365853666
2024-08-26,8220,8220,8000,8130,73793,0.0
2024-08-27,8100,8100,7990,8070,40717,-0.0073800738007380184
2024-08-28,8100,8240,8010,8080,62605,0.0012391573729864103
2024-08-29,8070,8120,7990,8000,55907,-0.00990099009900991
2024-08-30,8050,8100,8010,8070,41121,0.008750000000000036
2024-09-02,8090,8090,7950,8000,65903,-0.008674101610904539
2024-09-03,8060,8060,7930,8020,41265,0.0024999999999999467
2024-09-04,7830,7920,7700,7820,119450,-0.02493765586034913
2024-09-05,7840,7840,7670,7800,83864,-0.002557544757033292
