Date,Open,High,Low,Close,Volume,Change
2024-03-18,41200,42350,40450,42350,226637,0.03166869671132755
2024-03-19,41350,41400,40100,40650,178457,-0.04014167650531286
2024-03-20,41500,47200,40900,45500,1906596,0.11931119311193106
2024-03-21,46250,46250,43350,45300,645173,-0.00439560439560438
2024-03-22,46300,49400,45600,46150,725637,0.01876379690949226
2024-03-25,46500,48200,45200,46100,429006,-0.0010834236186348933
2024-03-26,46100,48900,46100,47900,517457,0.0390455531453362
2024-03-27,47450,49650,46850,49000,348155,0.022964509394572064
2024-03-28,48050,48800,46650,46850,300099,-0.043877551020408134
2024-03-29,46450,46600,44800,46000,196559,-0.018143009605122717
2024-04-01,46400,46400,43900,43900,172927,-0.04565217391304344
2024-04-02,44500,45250,41400,42250,223454,-0.0375854214123007
2024-04-03,40800,42350,39150,42150,247195,-0.002366863905325478
2024-04-04,43050,46900,42600,45850,358234,0.08778173190984573
2024-04-05,44500,46350,43900,46350,156042,0.010905125408942284
2024-04-08,46150,46300,41300,42200,269478,-0.08953613807982741
2024-04-09,42800,42800,39650,41400,268869,-0.018957345971563955
2024-04-11,40850,44450,39900,43550,257717,0.05193236714975846
2024-04-12,44850,45400,43150,45200,298638,0.03788748564867972
2024-04-15,44100,47600,42350,46200,422356,0.022123893805309658
2024-04-16,45300,46800,43800,45800,295379,-0.008658008658008698
2024-04-17,46200,48350,45600,47400,508502,0.03493449781659397
2024-04-18,47300,53800,46250,52400,1181057,0.10548523206751059
2024-04-19,51100,52900,47750,51700,927412,-0.013358778625954248
2024-04-22,49900,50600,44950,47950,927569,-0.07253384912959382
2024-04-23,48200,48850,44850,44850,434635,-0.06465067778936395
2024-04-24,46850,53500,46500,49600,1339486,0.10590858416945381
2024-04-25,48300,50800,45550,46250,525917,-0.06754032258064513
2024-04-26,48350,51500,47500,48850,655725,0.05621621621621631
2024-04-29,49350,50500,47500,48750,247052,-0.0020470829068577334
2024-04-30,48750,49300,46450,46700,411905,-0.04205128205128206
