Date,Open,High,Low,Close,Volume,Change
2024-03-18,12370,12370,12060,12190,121700,-0.002454991816693952
2024-03-19,12350,12930,12280,12530,594698,0.02789171452009853
2024-03-20,12580,12600,12000,12100,182787,-0.03431763766959295
2024-03-21,12080,12100,11740,11950,73797,-0.012396694214875992
2024-03-22,11890,12030,11740,11960,80127,0.0008368200836819106
2024-03-25,11960,12070,11850,11920,67226,-0.0033444816053511683
2024-03-26,11890,11920,11630,11650,77319,-0.022651006711409405
2024-03-27,11650,12050,11420,11650,111068,0.0
2024-03-28,11600,12050,11580,11650,83770,0.0
2024-03-29,11680,11760,11580,11700,36218,0.0042918454935623185
2024-04-01,11700,15090,11700,14880,6264420,0.2717948717948717
2024-04-02,14660,18130,13710,15840,13290035,0.06451612903225801
2024-04-03,15520,15660,14110,14870,2705815,-0.0612373737373737
2024-04-04,14630,16400,14310,14750,4891770,-0.00806993947545398
2024-04-05,14360,15730,14200,14350,2386509,-0.027118644067796627
2024-04-08,14350,14500,13590,13850,389669,-0.03484320557491294
2024-04-09,13710,15870,13670,14250,4066105,0.028880866425992746
2024-04-11,14440,15430,14190,14410,1954237,0.011228070175438587
2024-04-12,14490,14890,13810,14000,493809,-0.0284524635669674
2024-04-15,13630,13950,13210,13660,294966,-0.024285714285714244
2024-04-16,13360,13610,12410,12570,278083,-0.07979502196193267
2024-04-17,12620,12890,12200,12290,182796,-0.022275258552108212
2024-04-18,12420,13400,12420,13030,282597,0.060211554109031784
2024-04-19,13250,13300,12450,12720,210633,-0.02379125095932466
2024-04-22,12940,13410,12860,12990,167346,0.021226415094339535
2024-04-23,13390,15830,13390,15150,8841869,0.16628175519630495
2024-04-24,15770,16080,15130,15200,2931310,0.0033003300330032292
2024-04-25,15200,15550,14650,15200,953913,0.0
2024-04-26,15300,16240,15010,15330,2627632,0.008552631578947478
2024-04-29,15140,15920,14710,15610,1139603,0.0182648401826484
2024-04-30,15610,15700,14860,14860,427008,-0.0480461242793081
2024-05-02,15120,16480,15110,15700,3451464,0.05652759084791392
2024-05-03,15530,15770,15200,15390,532133,-0.0197452229299363
2024-05-07,15400,16500,15200,15710,3011904,0.02079272254710851
2024-05-08,15670,16220,15580,15900,762138,0.012094207511139432
2024-05-09,16210,17300,15610,16160,3895745,0.01635220125786163
2024-05-10,15990,16600,15600,16140,909292,-0.0012376237623762387
2024-05-13,16240,16760,15900,16030,865638,-0.006815365551425034
2024-05-14,16190,16190,15240,15530,614978,-0.031191515907673106
2024-05-16,15680,16580,15390,15810,907835,0.01802962009014819
2024-05-17,16070,16420,15300,15600,916235,-0.013282732447817858
2024-05-20,15480,16000,15320,15350,322059,-0.01602564102564108
2024-05-21,15350,15400,14510,14510,333727,-0.0547231270358306
2024-05-22,14520,16750,14520,15900,4707227,0.09579600275671951
2024-05-23,16280,18200,16250,17350,10809185,0.09119496855345921
2024-05-24,16700,17280,16510,16870,1268012,-0.02766570605187324
2024-05-27,17230,18300,16750,17100,3095232,0.013633669235328938
2024-05-28,17260,17450,16710,17250,836833,0.00877192982456143
2024-05-29,17220,17250,16250,16250,534947,-0.05797101449275366
2024-05-30,15940,16170,15110,15300,436968,-0.058461538461538454
2024-05-31,15400,16920,15170,16030,1397844,0.04771241830065365
2024-06-03,16040,16450,15800,15820,345199,-0.013100436681222738
2024-06-04,15790,15790,14900,15050,270252,-0.04867256637168138
2024-06-05,14910,15050,14460,14640,221380,-0.027242524916943567
2024-06-07,14750,14820,14370,14540,147426,-0.006830601092896127
2024-06-10,14540,15110,14540,15010,224833,0.03232462173314987
2024-06-11,15030,15230,14710,14730,245938,-0.01865423051299131
2024-06-12,14750,14960,14600,14670,101960,-0.004073319755600768
2024-06-13,14670,14750,14320,14320,177033,-0.02385821404226307
2024-06-14,14320,14330,13510,13560,202844,-0.05307262569832405
2024-06-17,13470,13710,13300,13430,103135,-0.009587020648967548
2024-06-18,13380,13600,13080,13350,123314,-0.005956813104988856
2024-06-19,13380,13990,13290,13930,161645,0.043445692883895104
2024-06-20,13930,14100,13670,13740,99975,-0.013639626704953334
2024-06-21,13710,13920,13450,13450,72044,-0.021106259097525504
2024-06-24,13370,13400,13020,13200,74899,-0.018587360594795488
2024-06-25,13030,13660,13000,13250,58253,0.0037878787878788955
2024-06-26,13240,13270,12800,12820,76038,-0.03245283018867928
2024-06-27,12780,13180,12780,12890,66795,0.00546021840873645
2024-06-28,12850,13230,12850,12850,62972,-0.003103180760279267
2024-07-01,12830,12950,12520,12790,62031,-0.0046692607003890885
2024-07-02,12660,12820,12230,12280,102920,-0.03987490226739643
2024-07-03,12200,15380,11900,14450,4241153,0.17671009771986967
2024-07-04,14030,14320,13500,13500,1051166,-0.06574394463667821
2024-07-05,13340,13940,13240,13270,365046,-0.017037037037037073
2024-07-08,13180,13650,13110,13510,233980,0.018085908063300682
2024-07-09,13880,13910,13420,13540,271823,0.0022205773501109416
2024-07-10,13600,14230,13400,13590,577319,0.0036927621861151394
2024-07-11,13660,13780,13430,13430,107723,-0.011773362766740236
2024-07-12,13400,13780,13260,13260,100347,-0.012658227848101222
2024-07-15,13250,13380,12910,13300,122607,0.003016591251885359
2024-07-16,13300,13310,12690,12750,148504,-0.041353383458646586
2024-07-17,12700,12870,12440,12450,88244,-0.02352941176470591
2024-07-18,13050,13680,12280,12280,275571,-0.013654618473895597
2024-07-19,12170,12460,12080,12460,74629,0.014657980456026065
2024-07-22,12500,14350,12100,12500,900923,0.0032102728731941976
2024-07-23,12500,12780,12450,12570,97601,0.005600000000000049
2024-07-24,12580,13490,12580,12840,312470,0.021479713603818507
2024-07-25,12700,13010,12600,12710,92617,-0.010124610591900285
2024-07-26,12650,12850,12450,12550,84916,-0.012588512981903999
2024-07-29,12690,13070,12580,12900,109554,0.027888446215139417
2024-07-30,12780,12890,12320,12380,90786,-0.04031007751937987
2024-07-31,12300,12480,12190,12250,55181,-0.01050080775444262
2024-08-01,12250,12700,12250,12540,51706,0.023673469387755164
2024-08-02,12310,12370,11200,12180,99127,-0.028708133971291905
2024-08-05,11900,11900,9600,10070,240236,-0.1732348111658456
2024-08-06,9880,11070,9880,10500,211529,0.04270109235352537
2024-08-07,10340,11020,10340,10750,53501,0.023809523809523725
2024-08-08,10650,10820,10330,10580,76723,-0.015813953488372112
2024-08-09,10700,11380,10700,11080,72056,0.047258979206049156
2024-08-12,11340,11370,11130,11300,38475,0.019855595667870096
2024-08-13,11300,11570,10970,11280,79778,-0.001769911504424737
2024-08-14,11550,12320,11440,11980,238724,0.06205673758865249
2024-08-16,12020,12130,11850,12080,75433,0.008347245409014992
2024-08-19,12110,12180,11560,11610,84747,-0.038907284768211925
2024-08-20,11930,12070,11760,11810,35310,0.017226528854435763
2024-08-21,11810,11930,11520,11630,65185,-0.015241320914479273
2024-08-22,11660,11770,11350,11670,57761,0.0034393809114359186
2024-08-23,11670,11670,11260,11280,42748,-0.033419023136246784
2024-08-26,11360,11550,11090,11090,75770,-0.016843971631205656
2024-08-27,10970,11340,10970,11190,46011,0.009017132551848439
2024-08-28,11190,11340,10910,11000,53099,-0.016979445933869575
2024-08-29,10900,11070,10860,10910,37198,-0.008181818181818179
2024-08-30,10810,11350,10810,11160,57695,0.0229147571035746
2024-09-02,11140,11160,10890,10940,27693,-0.01971326164874554
2024-09-03,10870,11100,10850,10890,33610,-0.004570383912248621
2024-09-04,10700,10700,10240,10250,70714,-0.058769513314967825
2024-09-05,10200,10380,9800,9800,126225,-0.04390243902439028
2024-09-06,9800,10050,9560,9740,61456,-0.006122448979591799
2024-09-09,9500,9780,9320,9690,38158,-0.005133470225872738
2024-09-10,9690,9870,9560,9650,32690,-0.0041279669762641635
2024-09-11,10040,12540,9730,11930,2807301,0.23626943005181356
2024-09-12,12500,12700,11500,11790,1231969,-0.011735121542330251
2024-09-13,11700,13820,11500,12730,5888040,0.07972858354537737
